alanine[s]	22.113	22.113	22.113	-14	-14	-14
arginine[s]	-7.8975	-8.316	-8.316	-5.67	-5.67	-5.67
asparagine[s]	0.088452	0	0	0	0	0
aspartate[s]	1.44	0	0	0	0	0
cysteine[s]	-9.477	-1	-1	-1	0	0
glutamate[s]	25.2	11.2	11.2	15.68	8	8
glutamine[s]	-250	-10	-28	-28	0	0
glycine[s]	0.72	0	0	7	7	7
histidine[s]	-2.8431	-1.5	-1.5	-1.5	-1.5	-1.5
isoleucine[s]	-23.21865	-9	-9	-9	-9	-9
leucine[s]	-23.21865	-9.45	-9.45	-8.4	-8.4	-8.4
lysine[s]	-8.5293	-9	-9	-9	-9	-9
methionine[s]	-2.388204	-3	-3	-2	-2	-2
ornithine[s]	1.76904	5.6	5.6	0	0	0
phenylalanine[s]	-5.76	-8	-8	-8	-8	-8
serine[s]	-14.4	0	0	0	0	0
taurine[s]	0	0	0	0	0	0
threonine[s]	-7.8975	-5	-5	-5	-5	-5
tyrosine[s]	-2.5272	2	2	2	2	2
valine[s]	-14.705145	-11.2	-11.2	-8.4	-8.4	-8.4
glucose[s]	-1100	-1000	0	0	0	0
L-lactate[s]	2500	2000	-220	-250	-250	-250
