alanine[s]	52.7	50.5	-7.843461174	0
arginine[s]	-60	-12.4	-4.529231073	0
asparagine[s]	0.2	0	0	0
aspartate[s]	2.8	0	-0.570961548	0
cystine[s]	-46.2	-11.7	0	0
glutamate[s]	60.7	31.1	0	0
glutamine[s]	-450	-152.2	0	0
glycine[s]	-18.5	16.4	-4.805358777	0
histidine[s]	-26.4	-3.5	-1.488629664	0
isoleucine[s]	-131	-20	-6.937997976	0
leucine[s]	-142.2	-26.7	-6.47801793	0
lysine[s]	-106.2	-11.8	-7.906832415	0
methionine[s]	-25.5	-4.3	-1.64971971	0
ornithine[s]	6	0	-0.597250746	0
phenylalanine[s]	-66	-19	-6.263465211	0
serine[s]	-103	-22.7	-2.625613056	0
threonine[s]	-25	-8	-3.621012255	0
tyrosine[s]	-39.9	3.2	0.442513206	0
tryptophan[s]	-10.9	-1.5	-1.0935	0
valine[s]	-101.2	-9.1	-7.983408762	0
glucose[s]	-450	-450	-300	0
L-lactate[s]	1045.7	444.8	306.9944322	0
pyruvate[s]	347.2	67.8	-8.01385326	0
albumin[s]	0.77	0	0	0
