met	time	condition	ID	value
cells	0	0		499200
cells	0	0		441600
cells	0	0		524800
cells	0	0		544000
cells	0	0		512000
cells	0	0		547200
cells	23.75	0		1024000
cells	23.75	0		870400
cells	48	0		2515200
cells	48	0		2419200
cells	54.5	0		2252800
cells	54.5	0		2048000
cells	71.5	0		2816000
cells	71.5	0		1587200
cells	71.5	0		2278400
cells	144	0		844800
cells	144	0		921600
cells	0	6		499200
cells	0	6		441600
cells	0	6		524800
cells	0	6		544000
cells	0	6		512000
cells	0	6		547200
cells	23.75	6		1331200
cells	23.75	6		1305600
cells	48	6		2611200
cells	48	6		2707200
cells	54.5	6		3046400
cells	54.5	6		2636800
cells	71.5	6		3737600
cells	71.5	6		3584000
cells	71.5	6		NaN
cells	144	6		1254400
cells	144	6		1395200
cells	0	22		499200
cells	0	22		441600
cells	0	22		524800
cells	0	22		544000
cells	0	22		512000
cells	0	22		547200
cells	23.75	22		1126400
cells	23.75	22		883200
cells	48	22		2803200
cells	48	22		2918400
cells	54.5	22		2841600
cells	54.5	22		3148800
cells	71.5	22		3635200
cells	71.5	22		3020800
cells	71.5	22		NaN
cells	144	22		217600
cells	144	22		179200
