met	time	condition	ID	value
cells	0	0		108800
cells	0	0		140800
cells	0	0		230400
cells	0	0		201600
cells	0	0		102400
cells	0	0		105600
cells	23.75	0		192000
cells	23.75	0		201600
cells	47.75	0		348800
cells	47.75	0		323200
cells	71.25	0		492800
cells	71.25	0		480000
cells	78.00	0		396800
cells	78	0		435200
cells	143.75	0		435200
cells	143.75	0		268800
cells	0	6		108800
cells	0	6		140800
cells	0	6		230400
cells	0	6		201600
cells	0	6		102400
cells	0	6		105600
cells	23.75	6		208000
cells	23.75	6		224000
cells	47.75	6		380800
cells	47.75	6		352000
cells	71.25	6		563200
cells	71.25	6		684800
cells	78.00	6		NaN
cells	78	6		NaN
cells	143.75	6		1036800
cells	143.75	6		985600
cells	0	22		108800
cells	0	22		140800
cells	0	22		230400
cells	0	22		201600
cells	0	22		102400
cells	0	22		105600
cells	23.75	22		214400
cells	23.75	22		208000
cells	47.75	22		291200
cells	47.75	22		313600
cells	71.25	22		608000
cells	71.25	22		652800
cells	78.00	22		684800
cells	78	22		659200
cells	143.75	22		1548800
cells	143.75	22		1612800
