met	time	condition	ID	value
Lactate	0	0	13	1534.047093
Lactate	0	0	16	1420.37919
Lactate	6.5	0	28	1609.489349
Lactate	6.5	0	31	1610.99186
Lactate	23.25	0	43	1602.116733
Lactate	23.25	0	46	1490.07655
Lactate	30.25	0	55	1340.944968
Lactate	30.25	0	58	1446.30487
Lactate	47.5	0	67	980.2686759
Lactate	47.5	0	70	947.1618771
Lactate	54.25	0	76	731.7946019
Lactate	54.25	0	79	739.7858981
Lactate	71.5	0	82	206.0409611
Lactate	71.5	0	85	268.6382209
Lactate	143.5	0	91	71.05802437
Lactate	0	6	14	1276.296626
Lactate	0	6	17	1500.151873
Lactate	6.5	6	29	1831.147615
Lactate	6.5	6	32	1895.770173
Lactate	23.25	6	44	3484.626211
Lactate	23.25	6	47	3231.298136
Lactate	30.25	6	56	4818.095194
Lactate	30.25	6	59	5002.815114
Lactate	47.5	6	68	8351.393116
Lactate	47.5	6	71	9095.611437
Lactate	54.25	6	77	8430.090273
Lactate	54.25	6	80	8072.416033
Lactate	71.5	6	83	6078.499801
Lactate	71.5	6	86	5785.756966
Lactate	143.5	6	92	32.848453
Lactate	0	22	15	1543.827685
Lactate	0	22	18	1490.694655
Lactate	6.5	22	30	2026.209835
Lactate	6.5	22	33	1902.12067
Lactate	23.25	22	45	4026.47038
Lactate	23.25	22	48	3816.142795
Lactate	30.25	22	57	5425.901725
Lactate	30.25	22	60	5128.775245
Lactate	47.5	22	69	9739.8778
Lactate	47.5	22	72	11176.9357
Lactate	54.25	22	78	13250.28219
Lactate	54.25	22	81	13439.79747
Lactate	71.5	22	84	16121.0725
Lactate	71.5	22	87	18046.52832
Lactate	143.5	22	93	19330.53918
Glucose	0	0	well 1	260.28
Glucose	0	6	well 2	6362.4
Glucose	0	22	well 3	21693.615
Glucose	0	0	well 4	273.535
Glucose	0	6	well 5	6266
Glucose	0	22	well 6	21917.745
Glucose	0	0	well 7	381.985
Glucose	0	6	well 8	6282.87
Glucose	0	22	well 9	21188.72
Glucose	0	0	well 10	204.85
Glucose	0	6	well 11	6004.515
Glucose	0	22	well 12	20388.6
Glucose	0	0	well 13	203.645
Glucose	0	6	well 14	7075.76
Glucose	0	22	well 15	20364.5
Glucose	0	0	well 16	201.235
Glucose	0	6	well 17	6182.855
Glucose	0	22	well 18	21782.785
Glucose	6.5	0	well 4	68.685
Glucose	6.5	6	well 5	5890.04
Glucose	6.5	22	well 6	21657.465
Glucose	6.5	0	well 7	110.86
Glucose	6.5	6	well 8	5887.63
Glucose	6.5	22	well 9	20130.73
Glucose	6.5	0	well 10	51.815
Glucose	6.5	6	well 11	5664.705
Glucose	6.5	22	well 12	19335.43
Glucose	6.5	0	well 13	68.685
Glucose	6.5	6	well 14	5727.365
Glucose	6.5	22	well 15	19586.07
Glucose	6.5	0	well 16	62.66
Glucose	6.5	6	well 17	5779.18
