met	time	condition	ID	value
Lactate	0	0	S10	1255.902091
Lactate	23.5	0	S40	1325.507864
Lactate	47.75	0	S61	1164.961446
Lactate	87.25	0	S91	820.7934983
Lactate	143.75	0	S96	257.291465
Lactate	0	6	S11	1201.269149
Lactate	23.5	6	S41	1917.527962
Lactate	47.75	6	S65	3655.325608
Lactate	87.25	6	S92	8283.821373
Lactate	143.75	6	S97	2937.752199
Lactate	0	22	S12	1189.125147
Lactate	23.5	22	S42	1744.227328
Lactate	47.75	22	S66	3768.508912
Lactate	87.25	22	S93	10686.02852
Lactate	143.75	22	S98	24098.52125
Glucose	0	0	well 1	272.33
Glucose	0	6	well 2	5659.885
Glucose	0	22	well 3	22684.125
Glucose	0	0	well 4	234.975
Glucose	0	6	well 5	6288.895
Glucose	0	22	well 6	22326.24
Glucose	0	0	well 7	224.13
Glucose	0	6	well 8	6510.615
Glucose	0	22	well 9	22111.75
Glucose	0	0	well 10	301.25
Glucose	0	6	well 11	6292.51
Glucose	0	22	well 12	22431.075
Glucose	0	0	well 13	247.025
Glucose	0	6	well 14	6020.18
Glucose	0	22	well 15	22751.605
Glucose	0	0	well 16	247.025
Glucose	0	6	well 17	6197.315
Glucose	0	22	well 18	21274.275
Glucose	6.5	0	well 4	292.815
Glucose	6.5	6	well 5	5871.965
Glucose	6.5	22	well 6	22717.865
Glucose	6.5	0	well 7	225.335
Glucose	6.5	6	well 8	5524.925
Glucose	6.5	22	well 9	23346.875
Glucose	6.5	0	well 10	195.21
Glucose	6.5	6	well 11	5559.87
Glucose	6.5	22	well 12	23343.26
Glucose	6.5	0	well 13	303.66
Glucose	6.5	6	well 14	5745.44
Glucose	6.5	22	well 15	22607.005
Glucose	6.5	0	well 16	236.18
Glucose	6.5	6	well 17	6065.97
Glucose	23.5	0	well 4	189.185
Glucose	23.5	6	well 5	5620.12
Glucose	23.5	22	well 6	21148.955
Glucose	23.5	0	well 7	136.165
Glucose	23.5	6	well 8	5600.84
Glucose	23.5	22	well 9	21853.88
Glucose	23.5	0	well 10	230.155
Glucose	23.5	6	well 11	5662.295
Glucose	23.5	22	well 12	21086.295
Glucose	23.5	0	well 13	131.345
Glucose	23.5	6	well 14	5959.93
Glucose	23.5	22	well 15	22790.165
Glucose	23.5	0	well 16	115.68
Glucose	23.5	6	well 17	5051.36
Glucose	23.5	22	well 18	20873.01
Glucose	30.5	0	well 7	281.97
Glucose	30.5	6	well 8	5197.165
Glucose	30.5	22	well 9	20850.115
Glucose	30.5	0	well 10	203.645
Glucose	30.5	6	well 11	5398.4
Glucose	30.5	22	well 12	22970.915
Glucose	30.5	0	well 13	93.99
Glucose	30.5	6	well 14	5575.535
Glucose	30.5	22	well 15	22240.685
Glucose	30.5	0	well 16	93.99
Glucose	30.5	6	well 17	5120.045
Glucose	30.5	22	well 18	21794.835
Glucose	47.75	0	well 7	101.22
Glucose	47.75	6	well 8	4453.68
Glucose	47.75	22	well 9	20147.6
Glucose	47.75	0	well 10	108.45
Glucose	47.75	6	well 11	4224.73
Glucose	47.75	22	well 12	19360.735
Glucose	47.75	0	well 13	103.63
Glucose	47.75	6	well 14	4482.6
Glucose	47.75	22	well 15	20247.615
Glucose	47.75	0	well 16	124.115
Glucose	47.75	6	well 17	4482.6
Glucose	47.75	22	well 18	19706.57
Glucose	54.25	0	well 10	107.245
Glucose	54.25	6	well 11	3839.13
Glucose	54.25	22	well 12	18995.62
Glucose	54.25	0	well 13	127.73
Glucose	54.25	6	well 14	3706.58
Glucose	54.25	22	well 15	18476.265
Glucose	54.25	0	well 16	115.68
Glucose	54.25	6	well 17	3933.12
Glucose	54.25	22	well 18	18876.325
Glucose	71.25	0	well 10	121.705
Glucose	71.25	6	well 11	1800.27
Glucose	71.25	22	well 12	16421.74
Glucose	71.25	0	well 13	124.115
Glucose	71.25	22	well 15	17017.01
Glucose	71.25	0	well 16	121.705
Glucose	71.25	6	well 17	1928
Glucose	71.25	22	well 18	16648.28
Glucose	78.25	0	well 10	124.115
Glucose	78.25	6	well 11	600.09
Glucose	78.25	22	well 12	15499.915
Glucose	78.25	0	well 13	125.32
Glucose	78.25	22	well 15	15504.735
Glucose	143.75	0	well 10	132.55
Glucose	143.75	6	well 11	122.91
Glucose	143.75	22	well 12	921.825
Pyruvate	0	0	well 1	32.535
Pyruvate	0	6	well 2	42.175
Pyruvate	0	22	well 3	50.61
Pyruvate	0	0	well 4	56.635
Pyruvate	0	6	well 5	45.79
Pyruvate	0	22	well 6	45.79
Pyruvate	0	0	well 7	56.635
Pyruvate	0	6	well 8	45.79
Pyruvate	0	22	well 9	48.2
Pyruvate	0	0	well 10	43.38
Pyruvate	0	6	well 11	45.79
Pyruvate	0	22	well 12	46.995
Pyruvate	0	0	well 13	44.585
Pyruvate	0	6	well 14	59.045
Pyruvate	0	22	well 15	48.2
Pyruvate	0	0	well 16	46.995
Pyruvate	0	6	well 17	59.045
Pyruvate	0	22	well 18	61.455
Pyruvate	6.5	0	well 4	87.965
Pyruvate	6.5	6	well 5	71.095
Pyruvate	6.5	22	well 6	79.53
Pyruvate	6.5	0	well 7	78.325
Pyruvate	6.5	6	well 8	72.3
Pyruvate	6.5	22	well 9	84.35
Pyruvate	6.5	0	well 10	66.275
Pyruvate	6.5	6	well 11	67.48
Pyruvate	6.5	22	well 12	78.325
Pyruvate	6.5	0	well 13	67.48
Pyruvate	6.5	6	well 14	68.685
Pyruvate	6.5	22	well 15	78.325
Pyruvate	6.5	0	well 16	68.685
Pyruvate	6.5	6	well 17	72.3
Pyruvate	23.5	0	well 4	126.525
Pyruvate	23.5	6	well 5	139.78
Pyruvate	23.5	22	well 6	148.215
Pyruvate	23.5	0	well 7	125.32
Pyruvate	23.5	6	well 8	150.625
Pyruvate	23.5	22	well 9	148.215
Pyruvate	23.5	0	well 10	112.065
Pyruvate	23.5	6	well 11	144.6
Pyruvate	23.5	22	well 12	140.985
Pyruvate	23.5	0	well 13	120.5
Pyruvate	23.5	6	well 14	150.625
Pyruvate	23.5	22	well 15	153.035
Pyruvate	23.5	0	well 16	115.68
Pyruvate	23.5	6	well 17	132.55
Pyruvate	23.5	22	well 18	136.165
Pyruvate	30.5	0	well 7	128.935
Pyruvate	30.5	6	well 8	171.11
Pyruvate	30.5	22	well 9	171.11
Pyruvate	30.5	0	well 10	131.345
Pyruvate	30.5	6	well 11	173.52
Pyruvate	30.5	22	well 12	183.16
Pyruvate	30.5	0	well 13	137.37
Pyruvate	30.5	6	well 14	179.545
Pyruvate	30.5	22	well 15	173.52
Pyruvate	30.5	0	well 16	130.14
Pyruvate	30.5	6	well 17	160.265
Pyruvate	30.5	22	well 18	168.7
Pyruvate	47.75	0	well 7	126.525
Pyruvate	47.75	6	well 8	260.28
Pyruvate	47.75	22	well 9	249.435
Pyruvate	47.75	0	well 10	149.42
Pyruvate	47.75	6	well 11	249.435
Pyruvate	47.75	22	well 12	242.205
Pyruvate	47.75	0	well 13	142.19
Pyruvate	47.75	6	well 14	253.05
Pyruvate	47.75	22	well 15	248.23
Pyruvate	47.75	0	well 16	154.24
Pyruvate	47.75	6	well 17	244.615
Pyruvate	47.75	22	well 18	241
Pyruvate	54.25	0	well 10	139.78
Pyruvate	54.25	6	well 11	295.225
Pyruvate	54.25	22	well 12	286.79
Pyruvate	54.25	0	well 13	140.985
Pyruvate	54.25	6	well 14	286.79
Pyruvate	54.25	22	well 15	275.945
Pyruvate	54.25	0	well 16	136.165
Pyruvate	54.25	6	well 17	283.175
Pyruvate	54.25	22	well 18	280.765
Pyruvate	71.25	0	well 10	126.525
Pyruvate	71.25	6	well 11	383.19
Pyruvate	71.25	22	well 12	371.14
Pyruvate	71.25	0	well 13	127.73
Pyruvate	71.25	22	well 15	356.68
Pyruvate	71.25	0	well 16	132.55
Pyruvate	71.25	6	well 17	371.14
Pyruvate	71.25	22	well 18	386.805
Pyruvate	78.25	0	well 10	122.91
Pyruvate	78.25	6	well 11	402.47
Pyruvate	78.25	22	well 12	400.06
Pyruvate	78.25	0	well 13	119.295
Pyruvate	78.25	22	well 15	426.57
Pyruvate	143.75	0	well 10	54.225
Pyruvate	143.75	6	well 11	163.88
Pyruvate	143.75	22	well 12	348.245
Taurine	0	0	16-10	10.6895
Taurine	23.5	0	19-40	10.219
Taurine	47.75	0	22-64	9.6069
Taurine	87.25	0	25-91	9.5125
Taurine	143.75	0	28-96	10.7046
Taurine	0	6	17-11	10.2948
Taurine	23.5	6	20-41	10.6048
Taurine	87.25	6	26-92	7.3235
Taurine	143.75	6	29-97	8.8375
Taurine	0	22	18-12	10.5178
Taurine	23.5	22	21-42	10.1319
Taurine	47.75	22	24-66	9.1777
Taurine	87.25	22	27-93	6.8147
Taurine	143.75	22	30-98	4.1174
Aspartic acid	0	0	16-10	14.3174
Aspartic acid	23.5	0	19-40	19.5187
Aspartic acid	47.75	0	22-64	25.6275
Aspartic acid	87.25	0	25-91	28.578
Aspartic acid	143.75	0	28-96	26.8095
Aspartic acid	0	6	17-11	13.8014
Aspartic acid	23.5	6	20-41	18.1382
Aspartic acid	87.25	6	26-92	24.817
Aspartic acid	143.75	6	29-97	27.5394
Aspartic acid	0	22	18-12	13.7583
Aspartic acid	23.5	22	21-42	17.4126
Aspartic acid	47.75	22	24-66	22.0247
Aspartic acid	87.25	22	27-93	25.0699
Aspartic acid	143.75	22	30-98	10.7523
Threonine	0	0	16-10	771.5147
Threonine	23.5	0	19-40	725.3996
Threonine	47.75	0	22-64	732.9347
Threonine	87.25	0	25-91	706.9282
Threonine	143.75	0	28-96	750.9163
Threonine	0	6	17-11	734.1497
Threonine	23.5	6	20-41	760.5118
Threonine	87.25	6	26-92	687.8083
Threonine	143.75	6	29-97	642.8645
Threonine	0	22	18-12	751.1758
Threonine	23.5	22	21-42	721.9464
Threonine	47.75	22	24-66	710.4928
Threonine	87.25	22	27-93	681.7922
Threonine	143.75	22	30-98	530.7722
Serine	0	0	16-10	402.2151
Serine	23.5	0	19-40	349.6869
Serine	47.75	0	22-64	308.5941
Serine	87.25	0	25-91	197.6569
Serine	143.75	0	28-96	31.9963
Serine	0	6	17-11	384.308
Serine	23.5	6	20-41	370.9799
Serine	87.25	6	26-92	235.8415
Serine	143.75	6	29-97	93.1786
Serine	0	22	18-12	391.4613
Serine	23.5	22	21-42	351.3272
Serine	47.75	22	24-66	311.2128
Serine	87.25	22	27-93	238.4802
Serine	143.75	22	30-98	56.2999
Asparagine	0	0	16-10	0.8171
Asparagine	23.5	0	19-40	1.5467
Asparagine	47.75	0	22-64	6.4963
Asparagine	87.25	0	25-91	19.5302
Asparagine	143.75	0	28-96	23.1566
Asparagine	0	6	17-11	0.3669
Asparagine	23.5	6	20-41	1.0312
Asparagine	87.25	6	26-92	1.9169
Asparagine	143.75	6	29-97	56.0895
Asparagine	0	22	18-12	0.3705
Asparagine	23.5	22	21-42	0.8605
Asparagine	47.75	22	24-66	1.9883
Asparagine	87.25	22	27-93	1.4647
Asparagine	143.75	22	30-98	0.606
Glutamic acid	0	0	16-10	104.7369
Glutamic acid	23.5	0	19-40	190.2681
Glutamic acid	47.75	0	22-64	303.3516
Glutamic acid	87.25	0	25-91	491.9409
Glutamic acid	143.75	0	28-96	814.2869
Glutamic acid	0	6	17-11	100.272
Glutamic acid	23.5	6	20-41	197.444
Glutamic acid	87.25	6	26-92	401.5468
Glutamic acid	143.75	6	29-97	1005.9503
Glutamic acid	0	22	18-12	103.7952
Glutamic acid	23.5	22	21-42	191.4175
Glutamic acid	47.75	22	24-66	284.2746
Glutamic acid	87.25	22	27-93	417.4304
Glutamic acid	143.75	22	30-98	521.0688
Glutamine	0	0	16-10	1761.955
Glutamine	23.5	0	19-40	1382.7608
Glutamine	47.75	0	22-64	1083.4144
Glutamine	87.25	0	25-91	528.8822
Glutamine	143.75	0	28-96	8.728
Glutamine	0	6	17-11	1543.6724
Glutamine	23.5	6	20-41	1331.6765
Glutamine	87.25	6	26-92	641.1036
Glutamine	143.75	6	29-97	315.8604
Glutamine	0	22	18-12	1675.7952
Glutamine	23.5	22	21-42	1348.1776
Glutamine	47.75	22	24-66	1053.903
Glutamine	87.25	22	27-93	681.2859
Glutamine	143.75	22	30-98	293.7182
Glycine	0	0	16-10	432.9027
Glycine	23.5	0	19-40	410.6283
Glycine	47.75	0	22-64	454.1938
Glycine	87.25	0	25-91	525.8365
Glycine	143.75	0	28-96	826.975
Glycine	0	6	17-11	396.5154
Glycine	23.5	6	20-41	426.7186
Glycine	87.25	6	26-92	435.2203
Glycine	143.75	6	29-97	460.718
Glycine	0	22	18-12	406.4418
Glycine	23.5	22	21-42	404.4187
Glycine	47.75	22	24-66	443.9589
Glycine	87.25	22	27-93	420.4489
Glycine	143.75	22	30-98	34.3389
Alanine	0	0	16-10	108.3016
Alanine	23.5	0	19-40	104.7832
Alanine	47.75	0	22-64	111.3455
Alanine	87.25	0	25-91	84.6302
Alanine	143.75	0	28-96	3.1958
Alanine	0	6	17-11	104.0463
Alanine	23.5	6	20-41	116.1592
Alanine	87.25	6	26-92	260.48
Alanine	143.75	6	29-97	55.712
Alanine	0	22	18-12	106.0133
Alanine	23.5	22	21-42	110.2848
Alanine	47.75	22	24-66	143.1786
Alanine	87.25	22	27-93	269.8555
Alanine	143.75	22	30-98	350.1742
Valine	0	0	16-10	729.1133
Valine	23.5	0	19-40	670.7967
Valine	47.75	0	22-64	655.2221
Valine	87.25	0	25-91	585.3531
Valine	143.75	0	28-96	389.3023
Valine	0	6	17-11	690.9986
Valine	23.5	6	20-41	703.753
Valine	87.25	6	26-92	559.6163
Valine	143.75	6	29-97	353.6627
Valine	0	22	18-12	710.7946
Valine	23.5	22	21-42	666.517
Valine	47.75	22	24-66	632.748
Valine	87.25	22	27-93	552.4355
Valine	143.75	22	30-98	262.0191
Cystine	0	0	16-10	171.2914
Cystine	23.5	0	19-40	145.5912
Cystine	47.75	0	22-64	132.8435
Cystine	87.25	0	25-91	88.2098
Cystine	143.75	0	28-96	3.025
Cystine	0	6	17-11	163.3961
Cystine	23.5	6	20-41	152.8218
Cystine	87.25	6	26-92	105.2302
Cystine	143.75	6	29-97	1.0266
Cystine	0	22	18-12	168.438
Cystine	23.5	22	21-42	145.1153
Cystine	47.75	22	24-66	129.7832
Cystine	87.25	22	27-93	103.8288
Cystine	143.75	22	30-98	14.0757
Methionine	0	0	16-10	160.0937
Methionine	23.5	0	19-40	149.658
Methionine	47.75	0	22-64	148.4468
Methionine	87.25	0	25-91	136.2412
Methionine	143.75	0	28-96	116.8976
Methionine	0	6	17-11	152.4136
Methionine	23.5	6	20-41	157.423
Methionine	87.25	6	26-92	126.3013
Methionine	143.75	6	29-97	76.3977
Methionine	0	22	18-12	158.0069
Methionine	23.5	22	21-42	149.1004
Methionine	47.75	22	24-66	142.7034
Methionine	87.25	22	27-93	126.0511
Methionine	143.75	22	30-98	37.6518
Iso-leucine	0	0	16-10	738.0649
Iso-leucine	23.5	0	19-40	664.8196
Iso-leucine	47.75	0	22-64	622.568
Iso-leucine	87.25	0	25-91	517.5473
Iso-leucine	143.75	0	28-96	254.1482
Iso-leucine	0	6	17-11	708.1009
Iso-leucine	23.5	6	20-41	689.6598
Iso-leucine	87.25	6	26-92	491.0725
Iso-leucine	143.75	6	29-97	238.8065
Iso-leucine	0	22	18-12	718.9334
Iso-leucine	23.5	22	21-42	660.9211
Iso-leucine	47.75	22	24-66	600.1603
Iso-leucine	87.25	22	27-93	487.871
Iso-leucine	143.75	22	30-98	201.8667
Leucine	0	0	16-10	708.1441
Leucine	23.5	0	19-40	641.3367
Leucine	47.75	0	22-64	602.2664
Leucine	87.25	0	25-91	509.0679
Leucine	143.75	0	28-96	272.422
Leucine	0	6	17-11	680.8173
