Met	Flux	Lb	Ub
glucose[s]	-597.72462	-432.22962	-771.34494
L-lactate[s]	864.39826	700.97297	1039.30385
pyruvate[s]	75.91637	51.14865	101.66862
alanine[s]	31.07210	24.63435	37.89825
arginine[s]	-14.12085	-11.91447	-16.52139
aspartate[s]	0.54588	0.37682	0.72209
cystine[s]	-9.43787	-7.59749	-11.39845
glutamate[s]	19.41947	16.42766	22.66161
glutamine[s]	-97.30092	-81.15505	-114.66305
glycine[s]	-0.82242	1.20073	-2.86510
histidine[s]	-4.03225	-2.92212	-5.19404
isoleucine[s]	-19.65293	-15.58109	-23.97043
leucine[s]	-22.51697	-18.31615	-26.99925
lysine[s]	-14.12158	-10.26904	-18.16388
methionine[s]	-4.58980	-3.68762	-5.55079
ornithine[s]	2.09933	1.79624	2.43161
phenylalanine[s]	-13.41742	-11.26644	-15.74241
proline[s]	12.76340	11.53493	14.16738
serine[s]	-10.75899	-7.44388	-14.22204
threonine[s]	-11.56476	-7.74839	-15.54738
tryptophan[s]	-1.72003	-1.05459	-2.40750
tyrosine[s]	0.34467	-1.48898	2.18435
valine[s]	-20.26046	-16.35399	-24.42652
biomass[s]	0.04279	0.03530	0.05151
