Met	Flux	Lb	Ub
glucose[s]	-534.03883	-432.40456	-636.46580
L-lactate[s]	649.28388	542.55784	756.92297
pyruvate[s]	39.53710	10.57617	68.49802
alanine[s]	32.07716	26.84457	37.34984
arginine[s]	-12.56079	-11.63541	-13.50088
aspartate[s]	0.50536	0.39213	0.61934
cystine[s]	-8.60086	-7.54456	-9.66991
glutamate[s]	19.00475	17.15476	20.88147
glutamine[s]	-91.48148	-80.91823	-102.14479
glycine[s]	2.12444	0.38240	3.87379
histidine[s]	-3.56239	-2.94009	-4.19138
isoleucine[s]	-17.63969	-15.43473	-19.86946
leucine[s]	-20.68113	-18.63887	-22.75005
lysine[s]	-12.15349	-9.87471	-14.44746
methionine[s]	-4.14141	-3.64638	-4.64161
ornithine[s]	2.15618	1.99177	2.32312
phenylalanine[s]	-11.93671	-10.88852	-13.00355
proline[s]	12.05619	11.30833	11.30974
serine[s]	-9.35078	-7.74946	-10.96671
threonine[s]	-8.87393	-6.71091	-11.04804
tryptophan[s]	-2.00841	-1.52890	-2.49105
tyrosine[s]	0.31222	-0.58228	1.20594
valine[s]	-17.86649	-15.69180	-20.06630
biomass[s]	0.02888	0.02652	0.03132
