id	time	condition
1	24.75	0
2	24.75	100
3	24.75	200
4	45.25	0
5	45.25	100
6	45.25	200
7	68.75	0
8	68.75	100
9	68.75	200
10	68.75	0
11	68.75	100
12	68.75	200
13	0	0
14	45.25	100
15	45.25	200
16	0	0
