met	id	time	conditon	well nr	Value
Glutamic acid	67	47.5	0	well 13	4.474555e+02
Glutamic acid	68	47.5	6	well 14	3.849895e+02
Glutamic acid	69	47.5	22	well 15	3.895048e+02
Glutamine	22	6.5	0	well 7	1.458256e+03
Glutamine	23	6.5	6	well 8	1.527391e+03
Glutamine	24	6.5	22	well 9	1.452478e+03
Glutamine	34	23.25	0	well 4	9.667634e+02
Glutamine	35	23.25	6	well 5	1.026237e+03
Glutamine	36	23.25	22	well 6	1.041680e+03
Glutamine	37	23.25	0	well 7	8.954687e+02
Glutamine	38	23.25	6	well 8	1.011630e+03
Glutamine	39	23.25	22	well 9	9.713889e+02
Glutamine	40	23.25	0	well 10	9.346915e+02
Glutamine	41	23.25	6	well 11	9.912166e+02
Glutamine	42	23.25	22	well 12	9.894678e+02
Glutamine	49	30.25	0	well 7	6.397001e+02
Glutamine	50	30.25	6	well 8	7.811319e+02
Glutamine	51	30.25	22	well 9	7.513184e+02
Glutamine	52	30.25	0	well 10	7.022629e+02
Glutamine	53	30.25	6	well 11	7.945065e+02
Glutamine	54	30.25	22	well 12	7.862516e+02
Glutamine	55	30.25	0	well 13	6.561152e+02
Glutamine	56	30.25	6	well 14	7.624117e+02
Glutamine	57	30.25	22	well 15	7.482136e+02
Glutamine	61	47.5	0	well 7	3.408320e+01
Glutamine	62	47.5	6	well 8	2.436100e+02
Glutamine	63	47.5	22	well 9	2.110253e+02
Glutamine	64	47.5	0	well 10	6.059550e+01
Glutamine	65	47.5	6	well 11	2.672221e+02
Glutamine	66	47.5	22	well 12	2.308372e+02
Glutamine	67	47.5	0	well 13	4.978790e+01
Glutamine	68	47.5	6	well 14	2.379650e+02
Glutamine	69	47.5	22	well 15	2.518547e+02
Proline	22	6.5	0	well 7	3.127160e+01
Proline	23	6.5	6	well 8	3.052920e+01
Proline	24	6.5	22	well 9	2.867380e+01
Proline	34	23.25	0	well 4	6.632830e+01
Proline	35	23.25	6	well 5	7.294720e+01
Proline	36	23.25	22	well 6	7.140920e+01
Proline	37	23.25	0	well 7	6.640080e+01
Proline	38	23.25	6	well 8	7.335250e+01
Proline	39	23.25	22	well 9	7.663880e+01
Proline	40	23.25	0	well 10	6.511770e+01
Proline	41	23.25	6	well 11	7.274050e+01
Proline	42	23.25	22	well 12	7.514620e+01
Proline	49	30.25	0	well 7	8.916470e+01
Proline	50	30.25	6	well 8	9.226650e+01
Proline	51	30.25	22	well 9	8.965820e+01
Proline	52	30.25	0	well 10	8.867320e+01
Proline	53	30.25	6	well 11	9.506310e+01
Proline	54	30.25	22	well 12	9.792560e+01
Proline	55	30.25	0	well 13	8.390860e+01
Proline	56	30.25	6	well 14	1.002790e+02
Proline	57	30.25	22	well 15	8.826820e+01
Proline	61	47.5	0	well 7	1.310063e+02
Proline	62	47.5	6	well 8	1.702871e+02
Proline	63	47.5	22	well 9	1.718429e+02
Proline	64	47.5	0	well 10	1.224267e+02
Proline	65	47.5	6	well 11	1.701371e+02
Proline	66	47.5	22	well 12	1.701258e+02
Proline	67	47.5	0	well 13	1.281504e+02
Proline	68	47.5	6	well 14	1.715900e+02
Proline	69	47.5	22	well 15	1.685523e+02
Glycine	22	6.5	0	well 7	4.036958e+02
Glycine	23	6.5	6	well 8	4.070671e+02
Glycine	24	6.5	22	well 9	3.885657e+02
Glycine	34	23.25	0	well 4	4.550155e+02
Glycine	35	23.25	6	well 5	4.206053e+02
Glycine	36	23.25	22	well 6	4.205804e+02
Glycine	37	23.25	0	well 7	4.501344e+02
Glycine	38	23.25	6	well 8	4.154190e+02
Glycine	39	23.25	22	well 9	4.073190e+02
Glycine	40	23.25	0	well 10	4.457366e+02
Glycine	41	23.25	6	well 11	4.086804e+02
Glycine	42	23.25	22	well 12	4.182545e+02
Glycine	49	30.25	0	well 7	4.935739e+02
Glycine	50	30.25	6	well 8	4.147003e+02
Glycine	51	30.25	22	well 9	4.116311e+02
Glycine	52	30.25	0	well 10	4.905966e+02
Glycine	53	30.25	6	well 11	4.164721e+02
Glycine	54	30.25	22	well 12	4.263126e+02
Glycine	55	30.25	0	well 13	4.747207e+02
Glycine	56	30.25	6	well 14	4.218705e+02
Glycine	57	30.25	22	well 15	4.037684e+02
Glycine	61	47.5	0	well 7	6.279838e+02
Glycine	62	47.5	6	well 8	4.201199e+02
Glycine	63	47.5	22	well 9	4.148119e+02
Glycine	64	47.5	0	well 10	6.047670e+02
Glycine	65	47.5	6	well 11	4.439301e+02
Glycine	66	47.5	22	well 12	4.013504e+02
Glycine	67	47.5	0	well 13	6.056211e+02
Glycine	68	47.5	6	well 14	4.309833e+02
Glycine	69	47.5	22	well 15	4.111417e+02
Alanine	22	6.5	0	well 7	1.217458e+02
Alanine	23	6.5	6	well 8	1.335911e+02
Alanine	24	6.5	22	well 9	1.253393e+02
Alanine	34	23.25	0	well 4	1.783295e+02
Alanine	35	23.25	6	well 5	2.892436e+02
Alanine	36	23.25	22	well 6	2.720986e+02
Alanine	37	23.25	0	well 7	1.792682e+02
Alanine	38	23.25	6	well 8	2.881144e+02
Alanine	39	23.25	22	well 9	2.740886e+02
Alanine	40	23.25	0	well 10	1.776049e+02
Alanine	41	23.25	6	well 11	2.883913e+02
Alanine	42	23.25	22	well 12	2.884434e+02
Alanine	49	30.25	0	well 7	2.002620e+02
Alanine	50	30.25	6	well 8	3.739300e+02
Alanine	51	30.25	22	well 9	3.613768e+02
Alanine	52	30.25	0	well 10	2.052564e+02
Alanine	53	30.25	6	well 11	3.817948e+02
Alanine	54	30.25	22	well 12	3.832019e+02
Alanine	55	30.25	0	well 13	1.935430e+02
Alanine	56	30.25	6	well 14	3.795585e+02
Alanine	57	30.25	22	well 15	3.508455e+02
Alanine	61	47.5	0	well 7	1.170191e+02
Alanine	62	47.5	6	well 8	5.430364e+02
Alanine	63	47.5	22	well 9	5.316013e+02
Alanine	64	47.5	0	well 10	1.526853e+02
Alanine	65	47.5	6	well 11	5.823001e+02
Alanine	66	47.5	22	well 12	5.294826e+02
Alanine	67	47.5	0	well 13	1.374774e+02
Alanine	68	47.5	6	well 14	5.490360e+02
Alanine	69	47.5	22	well 15	5.216934e+02
Citrulline	22	6.5	0	well 7	8.838600e+00
Citrulline	23	6.5	6	well 8	9.498800e+00
Citrulline	24	6.5	22	well 9	7.255400e+00
Citrulline	34	23.25	0	well 4	7.229400e+00
Citrulline	35	23.25	6	well 5	7.827300e+00
Citrulline	36	23.25	22	well 6	7.649100e+00
Citrulline	37	23.25	0	well 7	8.058300e+00
Citrulline	38	23.25	6	well 8	8.237200e+00
Citrulline	39	23.25	22	well 9	8.325200e+00
Citrulline	40	23.25	0	well 10	6.497900e+00
Citrulline	41	23.25	6	well 11	8.096700e+00
Citrulline	42	23.25	22	well 12	7.409200e+00
Citrulline	49	30.25	0	well 7	7.873900e+00
