Gln –	GLU	SER	GLN	HIS	GLY	THR	TYR	CYS	VAL	MET	TRP	PHE	ISO	LEU	LYS
0	0.03213	0.36552	-0.11247	0.15665	0.19682	0.45790	0.33338	0.38962	0.55028	0.25305	0.06427	0.31732	0.58242	0.69890	0.61053
18	0.07632	0.30661	-0.20753	0.17406	0.29054	0.53689	0.35079	0.38828	0.57171	0.25305	0.06561	0.32535	0.56099	0.64401	0.63329
24	0.10644	0.25807	-0.15364	0.15966	0.31230	0.52016	0.33338	0.27615	0.54727	0.21690	0.06125	0.30828	0.52518	0.58342	0.59447
32	0.23832	0.29589	-0.21690	0.23297	0.42175	0.84350	0.56501	0.31999	0.99747	0.30125	0.10443	0.50878	0.92517	0.86091	0.72969
48	0.19548	0.21556	-0.22493	0.21690	0.55162	0.77522	0.46326	0.29456	0.76986	0.28117	0.08301	0.42309	0.70693	0.74041	0.80066
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0.03502	0.04655	0.00928	0.02284	0.06149	0.10100	0.06773	0.04023	0.11985	0.02812	0.01160	0.05998	0.11392	0.10929	0.10855
24	0.05880	0.10645	0.01391	0.05793	0.16088	0.20818	0.13594	0.02734	0.23457	0.07140	0.02354	0.12199	0.22336	0.21873	0.22126
32	0.09302	0.03645	0.00402	0.01391	0.11095	0.28846	0.12525	0.08332	0.28848	0.02008	0.02125	0.10399	0.25535	0.12767	0.23305
48	0.00836	0.02421	0.00000	0.01205	0.03645	0.09080	0.03015	0.05628	0.08077	0.00696	0.00836	0.03041	0.06757	0.03416	0.03732
