Gln – / Glc –	GLU	SER	GLN	HIS	GLY	THR	TYR	CYS	VAL	MET	TRP	PHE	ISO	LEU	LYS
0	0.02812	0.35347	-0.11648	0.10042	0.253	0.502	0.32535	0.39765	0.54225	0.22092	0.06025	0.30928	0.57438	0.67882	0.59447
18	0.06561	0.26242	-0.13924	0.17004	0.28652	0.53020	0.39163	0.38962	0.56769	0.23966	0.07230	0.36753	0.54761	0.63196	0.63329
24	0.12318	0.29857	-0.22092	0.19280	0.39096	0.67614	0.42309	0.31598	0.71764	0.27447	0.07632	0.39096	0.68953	0.73773	0.72702
32	0.15799	0.19146	-0.22761	0.20753	0.48736	0.72702	0.44451	0.31598	0.72166	0.27313	0.08301	0.40301	0.67882	0.71497	0.77120
48	0.13389	0.13791	-0.22761	0.18744	0.50476	0.62526	0.38694	0.34945	0.61723	0.25573	0.07096	0.35213	0.57438	0.63329	0.69890
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0.06096	0.11546	0.12059	0.02674	0.10322	0.11311	0.03692	0.04562	0.16218	0.05628	0.00568	0.03692	0.17436	0.17273	0.13104
24	0.00614	0.01011	0.00000	0.01063	0.02961	0.01291	0.00928	0.05699	0.01981	0.00836	0.00000	0.00614	0.01981	0.00836	0.03956
32	0.01227	0.01811	0.00232	0.00232	0.01160	0.04632	0.01981	0.04443	0.05742	0.00402	0.00232	0.01898	0.05017	0.03137	0.01205
48	0.03860	0.02284	0.00232	0.01227	0.04515	0.09874	0.05853	0.05944	0.11546	0.01623	0.01011	0.04842	0.10536	0.08514	0.06637
