Glc –	GLU	SER	GLN	HIS	GLY	THR	TYR	CYS	VAL	MET	TRP	PHE	ISO	LEU	LYS
0	0.02812	0.34945	1.68700	0.16067	0.20485	0.43782	0.31732	0.41773	0.52618	0.25305	0.06427	0.30928	0.55832	0.67882	0.60250
18	0.32803	0.31464	1.37973	0.17539	0.29589	0.52484	0.30527	0.39096	0.55564	0.24903	0.05489	0.24903	0.52351	0.62258	0.64133
24	0.14192	0.28786	1.12065	0.17138	0.29322	0.52752	0.34543	0.38292	0.53288	0.23698	0.06159	0.27581	0.49405	0.57304	0.61857
32	0.33071	0.30928	0.90241	0.21288	0.46326	0.73371	0.46995	0.34008	0.69622	0.26912	0.08033	0.39229	0.62392	0.65739	0.79530
48	0.27581	0.21958	0.37355	0.15665	0.40301	0.51413	0.33606	0.34945	0.46727	0.21154	0.05757	0.18343	0.40568	0.45522	0.57304
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0.33172	0.05022	0.09941	0.01672	0.07540	0.04859	0.13603	0.02319	0.07833	0.03956	0.02674	0.00568	0.08580	0.09446	0.08665
24	0.02061	0.01811	0.10138	0.00836	0.02125	0.05483	0.03137	0.02674	0.05770	0.01205	0.00614	0.07751	0.05404	0.04257	0.04251
32	0.00232	0.00803	0.05798	0.00000	0.00614	0.01521	0.00696	0.02674	0.01672	0.00696	0.00402	0.00614	0.00928	0.00836	0.01448
48	0.09127	0.03120	0.08864	0.01063	0.02674	0.08023	0.04690	0.04418	0.08077	0.01291	0.00836	0.02734	0.06852	0.06149	0.07076
