Met	Flux	Lb	Ub
glucose[s]	-591.87682	-541.84473	-642.69499
L-lactate[s]	655.17416	517.99707	793.27259
pyruvate[s]	40.91723	30.44497	51.45980
alanine[s]	67.96609	61.57303	74.45473
arginine[s]	-14.18220	-14.60545	-14.60545
cystine[s]	-3.33726	-2.47374	-4.20807
glutamate[s]	16.30994	-1.06015	33.70040
glutamine[s]	-110.30481	-90.24312	-130.50438
glycine[s]	12.66941	7.41952	17.91138
histidine[s]	-4.04919	-3.14698	-4.95772
isoleucine[s]	-19.27441	-15.61227	-22.96215
leucine[s]	-24.78689	-20.89070	-28.71019
lysine[s]	-12.12792	-5.27564	-18.98777
methionine[s]	-5.57147	-4.13682	-7.01483
ornithine[s]	4.21457	2.64201	5.79636
phenylalanine[s]	-15.77598	-11.40801	-20.16614
proline[s]	13.51125	6.78940	20.24154
serine[s]	-1.64318	3.72181	-7.01228
threonine[s]	-8.19995	-0.18450	-16.22052
tryptophan[s]	-1.66387	-1.51048	-1.81960
tyrosine[s]	4.67527	0.41493	8.94145
valine[s]	-18.01858	-12.06118	-24.00412
biomass[s]	0.03530	0.03258	0.03814
