Met	Flux	Lb	Ub
glucose[s]	-584.11283	-177.97188	-1009.10054
L-lactate[s]	824.19697	258.97814	1416.13781
pyruvate[s]	40.09252	26.16037	55.34647
alanine[s]	83.67388	34.51547	135.55168
arginine[s]	-16.89875	-14.37450	-20.04086
cystine[s]	-2.87930	1.34607	-7.19645
glutamate[s]	15.79628	-11.84721	43.95316
glutamine[s]	-134.95590	-95.65000	-178.77440
glycine[s]	19.00908	-13.30636	51.89479
histidine[s]	-4.26673	-1.28002	-7.40011
isoleucine[s]	-22.10715	-6.07947	-38.88095
leucine[s]	-27.41401	-12.98739	-42.74015
lysine[s]	-14.60919	2.99488	-32.70632
methionine[s]	-6.21029	-3.07409	-9.54250
ornithine[s]	5.08680	-0.59770	10.91119
phenylalanine[s]	-16.41576	-9.41854	-23.94650
proline[s]	15.15045	1.53398	29.25932
serine[s]	-8.43684	0.46403	-17.62246
threonine[s]	-10.84632	10.43958	-32.45762
tryptophan[s]	-1.62060	-0.92171	-2.37316
tyrosine[s]	2.31782	-8.80771	13.48971
valine[s]	-21.05697	-1.26342	-41.53486
biomass[s]	0.03288	0.02071	0.04794
