Met	Flux	Lb	Ub
glucose[s]	-413.34062	-380.88693	-449.02354
L-lactate[s]	491.99496	444.48670	543.23163
pyruvate[s]	57.85630	44.85671	71.24461
alanine[s]	84.44002	65.70489	103.78207
arginine[s]	-12.70675	-11.92846	-13.56396
cystine[s]	-12.19930	-10.23216	-14.25317
glutamate[s]	27.13495	20.44449	34.02468
glutamine[s]	-123.22288	-105.35556	-142.00475
glycine[s]	11.12024	8.34018	13.98023
histidine[s]	-3.17201	-3.36010	-3.00163
isoleucine[s]	-23.24607	-20.07879	-26.56590
leucine[s]	-26.97302	-25.02169	-29.10557
lysine[s]	-8.90847	-9.38243	-8.50046
methionine[s]	-4.59838	-3.79941	-5.43722
ornithine[s]	4.64576	4.09117	5.23410
phenylalanine[s]	-12.02273	-10.85427	-13.28605
proline[s]	16.62032	15.02581	18.33949
serine[s]	-7.00845	-2.75082	-11.32084
threonine[s]	-9.72016	-7.76094	-11.75987
tryptophan[s]	-1.46361	-1.12058	-1.81945
tyrosine[s]	1.82516	1.27533	2.39039
valine[s]	-19.07517	-17.80846	-20.48048
biomass[s]	0.03304	0.02981	0.03653
