Met	Flux	Lb	Ub
glucose[s]	-546.87277	-434.59295	-666.88570
L-lactate[s]	664.62434	541.25344	797.23766
pyruvate[s]	40.60048	10.75913	71.10159
alanine[s]	32.78085	26.74713	39.26019
arginine[s]	-12.82297	-11.48057	-14.34770
aspartate[s]	0.51717	0.39353	0.64800
cystine[s]	-8.78151	-7.48350	-10.20028
glutamate[s]	19.39708	16.96941	22.09448
glutamine[s]	-93.37397	-80.15572	-107.86882
glycine[s]	2.18356	0.38758	4.00819
histidine[s]	-3.65230	-2.96064	-4.39474
isoleucine[s]	-18.02706	-15.35117	-20.95223
leucine[s]	-21.11374	-18.44813	-24.06966
lysine[s]	-12.46482	-9.96796	-15.13892
methionine[s]	-4.24291	-3.64890	-4.89857
ornithine[s]	2.20121	1.96595	2.46707
phenylalanine[s]	-12.20667	-10.79909	-13.78686
proline[s]	12.28607	11.09969	13.63754
serine[s]	-9.56233	-7.73951	-11.51514
threonine[s]	-9.09614	-6.73114	-11.54641
tryptophan[s]	-2.06212	-1.55174	-2.60020
tyrosine[s]	0.32002	-0.60003	1.24327
valine[s]	-18.28822	-15.66500	-21.17004
biomass[s]	0.03509	0.02702	0.04433
