Met	STD
Alanine	0.00453	
Arginine	0.01383	
Aspartic acid	0.00033	
Cystine	0.00639	
Glutamic acid	0.00836	
Glutamine	0.07492	
Glycine	0.01897	
Histidine	0.00589	
Iso-leucine	0.02335	
Leucine	0.02059	
Lysine	0.02434	
Methionine	0.00589	
Ornithine	0.00128	
Phenylalanine	0.01320	
Serine	0.01425	
Threonine	0.02494	
Tyrosine	0.01094	
Valine	0.02624	
growth	0.21414	
Glucose	0.38802	
Lactate	0.33422	
Pyruvate	0.07456	
