met	time	well	glucose
glc	23.25	4	0.034945
glc	23.25	5	4.76939
glc	23.25	6	19.28482
glc	23.25	7	0.22172
glc	23.25	8	4.62238
glc	23.25	9	19.59812
glc	23.25	10	0.06989
glc	23.25	11	4.66817
glc	23.25	12	17.49419
glc	23.25	13	0.030125
glc	23.25	14	4.23919
glc	23.25	15	18.943805
glc	23.25	16	0.06748
glc	23.25	17	4.79108
glc	23.25	18	17.47973
glc	30.25	7	0.06507
glc	30.25	8	3.628255
glc	30.25	9	17.873765
glc	30.25	10	0.03374
glc	30.25	11	3.683685
glc	30.25	12	17.85328
glc	30.25	13	0.06507
glc	30.25	14	2.12562
glc	30.25	15	17.471295
glc	30.25	16	0.06989
glc	30.25	17	3.40292
glc	30.25	18	18.86066
glc	47.5	7	0.066275
glc	47.5	8	0.30125
glc	47.5	9	14.34432
glc	47.5	10	0.3856
glc	47.5	11	0.34463
glc	47.5	12	13.911725
glc	47.5	13	0.083145
glc	47.5	14	0.09158
glc	47.5	15	14.79258
glc	47.5	16	0.071095
glc	47.5	17	0.054225
glc	47.5	18	13.651445
lac	23.25	13	1.602116733
lac	23.25	16	1.49007655
lac	30.25	13	1.340944968
lac	30.25	16	1.44630487
lac	47.5	13	0.980268676
lac	47.5	16	0.947161877
lac	23.25	14	3.484626211
lac	23.25	17	3.231298136
lac	30.25	14	4.818095194
lac	30.25	17	5.002815114
lac	47.5	14	8.351393116
lac	47.5	17	9.095611437
lac	23.25	15	4.02647038
lac	23.25	18	3.816142795
lac	30.25	15	5.425901725
lac	30.25	18	5.128775245
lac	47.5	15	9.7398778
lac	47.5	18	11.1769357
