Time	0	22	41	47	65	71	89	95	161
Glutamic acid	41.5725	89.17	130.14	179.545	212.08	260.28	325.35	355.475	17.8933371
Serine	379.575	294.02	237.385	241	185.57	180.75	159.06	159.06	33.23048318
Glutamine	1550.835	1037.505	725.41	702.515	363.91	259.075	9.64	0	0
Histidine	191.595	167.495	155.445	173.52	151.83	162.675	148.215	145.805	2.556191014
Glycine	198.825	177.135	172.315	254.255	212.08	286.79	278.355	309.685	38.34286521
Threonine	636.24	580.81	557.915	621.78	573.58	610.935	596.475	594.065	2.556191014
Alanine	146.4075	173.52	249.435	332.58	372.345	430.185	412.11	401.265	30.67429217
Arginine	321.735	270.3216667	233.3683333	253.8533333	204.85	206.8583333	164.2816667	145.4033333	9.372700385
Tyrosine	372.345	336.195	318.12	361.5	332.58	360.295	367.525	377.165	12.78095507
Cystine	263.895	227.745	187.98	210.875	153.035	183.16	148.215	145.805	7.668573042
Valine	672.39	582.015	538.635	583.22	513.33	544.66	496.46	478.385	25.56191014
Methionine	195.21	172.315	156.65	172.315	147.01	153.035	137.37	133.755	7.668573042
Tryptophan	79.53	69.89	65.07	69.89	63.865	65.07	61.455	61.455	2.556191014
Phenylalanine	347.04	306.07	231.36	256.665	218.105	204.85	177.135	183.16	20.44952811
Iso-leucine	666.9675	553.095	492.845	524.175	448.26	461.515	413.315	395.24	17.8933371
Leucine	717.5775	596.475	515.74	554.3	453.08	466.335	394.035	375.96	17.8933371
Lysine	741.075	647.085	591.655	680.825	597.68	643.47	592.86	582.015	35.7866742
Pyruvate	82.5425	384.395	478.385	606.115	673.9966667	721.795	807.7516667	740.6733333	463.925
Pyroglutamate	0	0	0	0	0	0	0	0	0
