Time	0	22	41	47	65	71	89	95	161
Glutamic acid	45.1875	63.865	80.735	84.35	106.04	101.22	102.425	122.91	177.135
Serine	383.19	290.405	250.64	227.745	185.57	133.755	132.55	98.81	34.945
Glutamine	0	0	0	0	0	0	0	0	0
Histidine	186.1725	165.085	171.11	174.725	186.775	171.11	173.52	185.57	216.9
Glycine	207.8625	202.44	263.895	291.61	406.085	362.705	360.295	443.44	572.375
Threonine	648.8925	603.705	637.445	635.035	680.825	639.855	642.265	689.26	812.17
Alanine	162.675	43.38	21.69	21.69	21.69	25.305	21.69	21.69	32.535
Arginine	322.94	286.79	298.4383333	295.225	300.8483333	268.715	263.895	267.1083333	249.435
Tyrosine	374.1525	341.015	356.68	354.27	377.165	350.655	353.065	374.755	432.595
Cystine	256.665	213.285	197.62	209.67	201.235	181.955	180.75	192.8	201.235
Valine	654.315	624.19	644.675	635.035	656.725	618.165	616.96	653.11	749.51
Methionine	197.0175	174.725	177.135	178.34	186.775	173.52	172.315	184.365	209.67
Tryptophan	79.53	72.3	73.505	73.505	78.325	73.505	72.3	77.12	87.965
Phenylalanine	352.4625	315.71	300.045	326.555	347.04	320.53	320.53	341.015	395.24
Iso-leucine	679.62	592.86	603.705	589.245	608.525	559.12	559.12	588.04	648.29
Leucine	737.46	626.6	627.805	614.55	635.035	575.99	572.375	598.885	648.29
Lysine	755.535	648.29	678.415	677.21	736.255	672.39	672.39	712.155	830.245
Pyruvate	104.835	142.5916667	126.9266667	116.4833333	91.17833333	57.43833333	56.23333333	61.85666667	69.48833333
Pyroglutamate	0	0	0	0	0	0	0	0	0
