Time	0	22	41	47	65	71	89	95	161
Glutamic acid	39.765	65.07	65.07	67.48	102.425	93.99	115.68	154.24	153.035
Serine	366.9225	271.125	228.95	191.595	134.96	155.445	89.17	101.22	53.02
Glutamine	0	0	0	0	0	0	0	0	0
Histidine	180.75	163.88	177.135	180.75	169.905	169.905	178.34	212.08	218.105
Glycine	169.905	210.875	324.145	361.5	365.115	330.7725	386.805	498.87	579.605
Threonine	639.855	571.17	600.09	572.375	601.295	598.2825	638.65	780.84	723
Alanine	32.535	28.92	36.15	32.535	32.535	32.535	32.535	39.765	46.995
Arginine	378.9725	290.405	294.02	285.1833333	249.0333333	251.845	246.2216667	289.2	254.6566667
Tyrosine	354.27	316.915	312.095	320.53	324.145	323.5425	343.425	420.545	384.395
Cystine	291.0075	267.51	300.045	353.065	254.255	253.05	250.64	250.64	343.425
Valine	645.2775	553.095	568.76	538.635	556.71	558.5175	589.245	724.205	645.88
Methionine	216.9	196.415	203.645	208.465	190.39	193.4025	200.03	236.18	237.385
Tryptophan	68.685	63.865	59.045	63.865	62.66	63.2625	67.48	80.735	74.71
Phenylalanine	336.195	300.045	213.285	298.84	301.25	301.8525	322.94	392.83	380.78
Iso-leucine	681.4275	554.3	554.3	530.2	536.225	538.635	551.89	676.005	583.22
Leucine	695.8875	584.425	589.245	575.99	556.71	556.71	561.53	672.39	625.395
Lysine	688.6575	616.96	644.675	638.65	635.035	634.4325	656.725	789.275	800.12
Pyruvate	126.1233333	151.83	96.80166667	81.53833333	69.08666667	97.20333333	83.94833333	75.11166667	80.735
Pyroglutamate	0	0	0	0	0	0	0	0	0
