Time	0	22	41	47	65	71	89	95	161
Glutamic acid	36.15	81.3375	194.005	208.465	244.615	310.89	495.255	482	392.83
Serine	354.27	240.3975	247.025	201.235	160.265	178.9425	187.98	196.415	97.605
Glutamine	1438.77	858.5625	673.595	413.315	167.495	184.365	-140.985	-185.57	-137.37
Histidine	184.365	153.6375	169.905	153.035	150.625	159.06	178.9425	184.365	173.52
Glycine	159.06	182.5575	300.045	253.05	342.22	347.04	549.48	691.67	1090.525
Threonine	618.165	480.795	604.91	508.51	501.28	583.8225	690.465	667.57	636.24
Alanine	32.535	16.2675	32.535	28.92	25.305	27.1125	32.535	32.535	32.535
Arginine	366.32	329.5675	375.5583333	329.7683333	313.7016667	338.605	300.045	249.435	97.20333333
Tyrosine	339.81	276.5475	338.605	272.33	285.585	323.5425	399.4575	398.855	431.39
Cystine	285.585	310.89	275.945	272.33	278.355	240.3975	216.9	273.535	283.175
Valine	618.165	459.105	562.735	456.695	428.98	504.2925	558.5175	515.74	388.01
Methionine	213.285	180.75	200.03	174.725	168.7	177.135	193.4025	196.415	166.29
Tryptophan	65.07	56.0325	63.865	50.61	53.02	57.84	66.8775	66.275	56.635
Phenylalanine	328.965	260.28	309.685	206.055	212.08	280.1625	209.67	226.54	137.37
Iso-leucine	650.7	446.4525	518.15	414.52	380.78	446.4525	478.9875	437.415	321.735
Leucine	672.39	493.4475	545.865	449.465	410.905	455.49	464.5275	438.62	306.07
Lysine	676.005	520.56	642.265	549.48	549.48	601.8975	672.39	668.775	629.01
Pyroglutamate	0	0	0	0	0	0	0	0	0
Pyruvate	126.1233333	151.83	96.80166667	81.53833333	69.08666667	97.20333333	83.94833333	75.11166667	80.735

