Time	0	23.5	47.75	87.25	143.75
Taurine	11	10	9	7	4
Aspartic acid	14	17	22	25	11
Threonine	751	722	710	682	531
Serine	391	351	311	238	56
Asparagine	0	1	2	1	1
Glutamic acid	104	191	284	417	521
Glutamine	1676	1348	1054	681	294
Glycine	406	404	444	420	34
Alanine	106	110	143	270	350
Valine	711	667	633	552	262
Cystine	168	145	130	104	14
Methionine	158	149	143	126	38
Iso-leucine	719	661	600	488	202
Leucine	686	636	578	468	136
Tyrosine	351	339	332	323	251
Phenylalanine	375	361	354	336	222
Ornithine	18	25	33	51	85
Lysine	713	684	670	632	385
Histidine	181	174	167	158	97
Arginine	347	324	306	261	23
