Time	0	23.5	47.75	87.25	143.75
Taurine	11	10	10	10	11
Aspartic acid	14	20	26	29	27
Threonine	772	725	733	707	751
Serine	402	350	309	198	32
Asparagine	1	2	6	20	23
Glutamic acid	105	190	303	492	814
Glutamine	1762	1383	1083	529	9
Glycine	433	411	454	526	827
Alanine	108	105	111	85	3
Valine	729	671	655	585	389
Cystine	171	146	133	88	3
Methionine	160	150	148	136	117
Iso-leucine	738	665	623	518	254
Leucine	708	641	602	509	272
Tyrosine	359	340	342	331	354
Phenylalanine	388	364	367	351	366
Ornithine	18	24	32	49	115
Lysine	732	690	693	664	691
Histidine	188	175	175	166	174
Arginine	358	325	319	287	215
