Uniprot ID	t1/2 (hour)
P01023	1.0
P49588	8.8
P80404	11.4
Q92887	13.1
P61221	11.2
Q8NE71	12.6
Q9UG63	8.8
Q9NUJ1	13.5
Q9NYB9	9.0
P42765	7.2
Q9H845	9.0
P45954	10.7
P49748	7.8
Q9BWD1	7.5
Q5T8D3	7.4
Q9UKV3	16.0
P53396	6.9
Q9NPJ3	11.9
P49753	6.8
Q96CM8	8.7
O95573	7.9
O60488	4.2
Q9NR19	4.8
Q9H6R3	9.6
P62736	10.5
O43707	13.5
Q9H2P0	18.0
Q9BRR6	11.4
Q9Y4W6	13.3
P02771	0.8
Q53H12	20.7
P23526	9.0
Q09666	6.5
O95433	9.0
O95831	11.5
P54819	10.0
Q9UIJ7	8.5
Q92667	10.0
P42330	7.2
P00352	8.2
P30837	10.3
P05091	6.3
P51648	6.8
P30038	8.9
P51649	9.3
Q02252	9.0
P49419	9.1
P04075	10.7
P09525	10.5
P08758	8.8
P08133	8.4
Q10567	10.0
O94973	8.7
P63010	5.7
Q96CW1	10.6
O00203	9.2
O14617	10.7
Q9HDC9	12.1
P04114	1.3
P48444	9.9
Q9NP61	7.0
Q9Y6D6	12.6
Q07960	8.1
Q8N392	9.5
Q96KC2	3.5
Q15041	7.1
Q9NVT9	6.6
O15143	9.7
O15144	6.4
O15145	5.6
Q8N3C0	8.1
P08243	11.4
Q12797	10.3
Q8NBU5	12.1
P31939	10.7
P05023	10.9
P05026	6.4
P16615	13.5
P06576	3.8
O75964	11.2
P48047	11.8
P38606	5.2
P36543	7.9
Q8WWM7	6.3
Q9UQB8	7.7
P51572	11.6
Q92843	8.0
Q9NYF8	4.9
Q12830	13.1
P20290	6.8
O43684	7.3
Q7L1Q6	6.0
Q9BQ61	13.4
P01024	1.0
P0C0L4	2.3
P04003	5.0
Q9BRJ6	9.2
Q96HJ9	12.4
P27708	4.1
P62158	11.5
Q86VP6	10.6
P27824	9.7
Q01518	7.0
Q75N03	22.2
P45973	15.6
Q9P031	6.4
P14635	6.9
P49368	4.4
P50991	10.8
P48643	6.0
P40227	5.8
Q99832	6.2
P50990	9.8
P30307	6.9
P06493	7.9
Q14004	14.7
Q9UKY7	7.5
Q9NSP4	3.4
Q9UEE9	7.7
P05156	2.1
P23528	9.3
Q9Y6H1	1.2
Q9NX63	15.2
Q14839	6.3
Q07065	10.0
Q14008	7.7
O00299	10.0
Q9NZA1	10.2
Q14677	8.6
O76031	9.3
Q00610	9.5
Q99439	7.2
Q15417	9.9
P09543	6.7
Q53SF7	8.4
Q8NBJ5	9.3
P53621	7.9
P53618	11.0
Q9Y678	10.5
P13073	4.2
P10606	7.0
P09669	5.8
P00450	2.5
Q16630	11.6
P43155	14.8
P46109	8.4
O75390	13.5
O75534	5.5
P55060	8.8
P48729	8.5
P21291	11.3
P29279	0.9
P35221	4.6
P26232	5.2
P35222	7.2
O60716	7.4
P17812	13.5
P10619	8.1
P07858	5.0
P07339	8.6
Q13616	10.6
Q13617	11.8
Q13618	11.1
Q13620	8.8
Q14999	6.0
Q02318	10.7
Q16850	3.2
Q3LXA3	5.6
Q7Z4W1	13.6
Q92466	12.3
P39656	4.2
Q92499	9.8
Q92841	8.9
Q9NVP1	10.5
Q9NR30	11.1
Q9GZR7	6.7
O00571	8.2
Q9UJV9	5.2
Q86XP3	14.8
Q7L014	8.8
Q9NY93	7.2
P26196	13.5
Q16698	11.5
P35659	10.2
Q7Z401	4.0
Q15392	6.6
Q13268	7.2
O75911	4.7
Q7L2E3	9.3
Q8IY37	6.7
Q92620	7.3
Q08211	9.6
Q9P265	13.6
O60832	7.5
P31689	5.4
O60884	10.6
Q96EY1	15.5
P25685	5.7
Q9UBS4	9.8
Q8WXX5	13.6
P50570	10.0
P15924	6.4
Q14204	6.3
Q13409	4.1
P30084	6.2
O75521	10.4
Q5VTE0	4.1
Q05639	7.1
P13639	5.4
Q96C19	10.6
Q8NDI1	7.5
Q08426	12.6
P47813	7.7
P20042	6.3
P60228	8.3
O15372	7.0
Q9Y262	12.2
P60842	6.0
Q14240	5.7
P38919	6.4
P23588	7.4
Q04637	6.8
P78344	9.6
P55010	6.7
O60841	8.2
O43402	5.1
Q92979	10.8
Q9HC35	7.5
P06733	7.6
P13929	7.7
O43768	6.6
O43491	12.9
P07099	19.1
P07814	10.0
P21860	4.6
Q96HE7	9.1
P30040	11.7
P10768	11.0
Q9H501	8.0
P11474	5.2
Q01844	18.7
Q01780	6.2
P15311	10.5
P12259	0.8
P07148	8.9
O95864	5.6
Q9Y4C2	4.6
Q9Y6X4	7.5
Q9BRX8	11.1
Q9NVI1	4.4
Q9Y4F1	9.5
P49327	7.6
P37268	5.3
P14324	10.1
Q96AC1	9.6
