Condition	Time	average	STD
hepg2-0mm-	0	121920	0
hepg2-0mm-	22	224400	34506.81092
hepg2-0mm-	41	384640	8145.870119
hepg2-0mm-	47	451200	22627.417
hepg2-0mm-	65	516000	15612.91773
hepg2-0mm-	71	532000	16970.56275
hepg2-0mm-	89	547200	27152.9004
hepg2-0mm-	95	1052800	40729.3506
hepg2-0mm-	161	1052800	4525.4834
hepg2-6mm-	0	180000	15211.1538
hepg2-6mm-	22	230400	13576.4502
hepg2-6mm-	41	367360	41634.44728
hepg2-6mm-	47	488320	38919.15724
hepg2-6mm-	65	837120	2715.29004
hepg2-6mm-	71	930720	71276.36354
hepg2-6mm-	89	1159680	57926.18751
hepg2-6mm-	95	1414400	0
hepg2-6mm-	161	2368000	149340.9522
hepg2-GLN-	0	121920	0
hepg2-GLN-	22	172320	11992.53101
hepg2-GLN-	41	260160	14028.99854
hepg2-GLN-	47	292320	7467.047609
hepg2-GLN-	65	215040	0
hepg2-GLN-	71	164160	13576.4502
hepg2-GLN-	89	105920	10326.30298
hepg2-GLN-	95	173760	21269.77198
hepg2-GLN-	161	143780	13123.90186
hepg2-GLN-GLC-	0	180000	15211.1538
hepg2-GLN-GLC-	22	190720	79648.50783
hepg2-GLN-GLC-	41	162560	13576.4502
hepg2-GLN-GLC-	47	181440	10408.61182
hepg2-GLN-GLC-	65	163520	9503.515139
hepg2-GLN-GLC-	71	187840	42992.0923
hepg2-GLN-GLC-	89	139840	29415.6421
hepg2-GLN-GLC-	95	206400	0
hepg2-GLN-GLC-	161	153920	2262.7417
