t	SSZ	cells
0	0	296000
0	0	385600
24.75	0	780800
45.25	0	1548800
45.25	0	NaN
68.75	0	2985600
68.75	0	2390400
0	100	296000
0	100	385600
24.75	100	672000
45.25	100	1401600
45.25	100	1369600
68.75	100	2889600
68.75	100	2803200
0	200	296000
0	200	385600
24.75	200	592000
45.25	200	1094400
45.25	200	1228800
68.75	200	2400000
68.75	200	2611200
