met	time	condition	ID	value
Glucose	0	0		6942.005
Glucose	0	0		6928.75
Glucose	24.75	0		5918.96
Glucose	45.25	0		3778.88
Glucose	45.25	0		NaN
Glucose	68.75	0		0
Glucose	68.75	0		0
Glucose	0	100		6942.005
Glucose	0	100		6928.75
Glucose	24.75	100		5515.285
Glucose	45.25	100		3036.6
Glucose	45.25	100		2887.18
Glucose	68.75	100		0
Glucose	68.75	100		0
Glucose	0	200		6942.005
Glucose	0	200		6928.75
Glucose	24.75	200		5744.235
Glucose	45.25	200		4125.92
Glucose	45.25	200		3043.83
Glucose	68.75	200		0
Glucose	68.75	200		0
Pyruvate	0	0		4.82
Pyruvate	0	0		21.69
Pyruvate	24.75	0		241
Pyruvate	45.25	0		457.9
Pyruvate	45.25	0		NaN
Pyruvate	68.75	0		415.725
Pyruvate	68.75	0		435.005
Pyruvate	0	100		4.82
Pyruvate	0	100		21.69
Pyruvate	24.75	100		289.2
Pyruvate	45.25	100		449.465
Pyruvate	45.25	100		482
Pyruvate	68.75	100		455.49
Pyruvate	68.75	100		375.96
Pyruvate	0	200		4.82
Pyruvate	0	200		21.69
Pyruvate	24.75	200		249.435
Pyruvate	45.25	200		415.725
Pyruvate	45.25	200		379.575
Pyruvate	68.75	200		453.08
Pyruvate	68.75	200		389.215
Lactate	0	0		2502.319239
Lactate	0	0		2268.534253
Lactate	24.75	0		3688.098279
Lactate	45.25	0		6170.897896
Lactate	45.25	0		NaN
Lactate	0	100		2502.319239
Lactate	0	100		2268.534253
Lactate	24.75	100		3954.516163
Lactate	45.25	100		6568.461849
Lactate	45.25	100		6993.501519
Lactate	0	200		2502.319239
Lactate	0	200		2268.534253
Lactate	24.75	200		3788.191522
Lactate	45.25	200		6082.523528
Lactate	45.25	200		7587.674848
