met	id	time	condition	value
Taurine	1	24.75	0	1.056610e+01
Taurine	2	24.75	100	9.876700e+00
Taurine	3	24.75	200	1.077390e+01
Taurine	4	45.25	0	7.587900e+00
Taurine	5	45.25	100	6.551300e+00
Taurine	6	45.25	200	7.064200e+00
Taurine	7	68.75	0	5.968400e+00
Taurine	8	68.75	100	4.668000e+00
Taurine	9	68.75	200	4.986900e+00
Taurine	10	68.75	0	5.459800e+00
Taurine	11	68.75	100	5.029300e+00
Taurine	12	68.75	200	4.983300e+00
Taurine	13	0	0	1.307680e+01
Taurine	14	45.25	100	7.307600e+00
Taurine	15	45.25	200	8.065700e+00
Taurine	16	0	0	1.217060e+01
Aspartic acid	1	24.75	0	2.485390e+01
Aspartic acid	2	24.75	100	2.427200e+01
Aspartic acid	3	24.75	200	2.452660e+01
Aspartic acid	4	45.25	0	2.815340e+01
Aspartic acid	5	45.25	100	2.541070e+01
Aspartic acid	6	45.25	200	2.366090e+01
Aspartic acid	7	68.75	0	2.710800e+01
Aspartic acid	8	68.75	100	2.092130e+01
Aspartic acid	9	68.75	200	1.977330e+01
Aspartic acid	10	68.75	0	2.605870e+01
Aspartic acid	11	68.75	100	2.182650e+01
Aspartic acid	12	68.75	200	2.030470e+01
Aspartic acid	13	0	0	1.730480e+01
Aspartic acid	14	45.25	100	3.371340e+01
Aspartic acid	15	45.25	200	3.542130e+01
Aspartic acid	16	0	0	1.720320e+01
Threonine	1	24.75	0	6.898435e+02
Threonine	2	24.75	100	6.288808e+02
Threonine	3	24.75	200	6.609514e+02
Threonine	4	45.25	0	6.323158e+02
Threonine	5	45.25	100	5.810364e+02
Threonine	6	45.25	200	5.925018e+02
Threonine	7	68.75	0	5.346850e+02
Threonine	8	68.75	100	5.054579e+02
Threonine	9	68.75	200	5.148731e+02
Threonine	10	68.75	0	5.214539e+02
Threonine	11	68.75	100	5.197681e+02
Threonine	12	68.75	200	5.027544e+02
Threonine	13	0	0	7.060124e+02
Threonine	14	45.25	100	6.059745e+02
Threonine	15	45.25	200	6.492072e+02
Threonine	16	0	0	7.086830e+02
Serine	1	24.75	0	3.215285e+02
Serine	2	24.75	100	2.995064e+02
Serine	3	24.75	200	3.147860e+02
Serine	4	45.25	0	3.099675e+02
Serine	5	45.25	100	3.007722e+02
Serine	6	45.25	200	2.954638e+02
Serine	7	68.75	0	3.238843e+02
Serine	8	68.75	100	3.197679e+02
Serine	9	68.75	200	3.030324e+02
Serine	10	68.75	0	3.048349e+02
Serine	11	68.75	100	3.316981e+02
Serine	12	68.75	200	3.079502e+02
Serine	13	0	0	3.623693e+02
Serine	14	45.25	100	2.840626e+02
Serine	15	45.25	200	2.717288e+02
Serine	16	0	0	3.641488e+02
Asparagine	1	24.75	0	9.299000e-01
Asparagine	2	24.75	100	2.990900e+00
Asparagine	3	24.75	200	1.086900e+01
Asparagine	4	45.25	0	2.592000e+00
Asparagine	5	45.25	100	5.207400e+00
Asparagine	6	45.25	200	2.815980e+01
Asparagine	7	68.75	0	1.188100e+00
Asparagine	8	68.75	100	1.937200e+00
Asparagine	9	68.75	200	2.733500e+01
Asparagine	10	68.75	0	1.923600e+00
Asparagine	11	68.75	100	2.344400e+00
Asparagine	12	68.75	200	2.539230e+01
Asparagine	13	0	0	3.637000e-01
Asparagine	14	45.25	100	2.896100e+00
Asparagine	15	45.25	200	3.333910e+01
Asparagine	16	0	0	9.411000e-01
Glutamic acid	1	24.75	0	2.070301e+02
Glutamic acid	2	24.75	100	1.462281e+02
Glutamic acid	3	24.75	200	1.394949e+02
Glutamic acid	4	45.25	0	3.047498e+02
Glutamic acid	5	45.25	100	1.895698e+02
Glutamic acid	6	45.25	200	1.610543e+02
Glutamic acid	7	68.75	0	4.217292e+02
Glutamic acid	8	68.75	100	2.481458e+02
Glutamic acid	9	68.75	200	2.086594e+02
Glutamic acid	10	68.75	0	3.977472e+02
Glutamic acid	11	68.75	100	2.695402e+02
Glutamic acid	12	68.75	200	2.257019e+02
Glutamic acid	13	0	0	9.581380e+01
Glutamic acid	14	45.25	100	2.436113e+02
Glutamic acid	15	45.25	200	2.347282e+02
Glutamic acid	16	0	0	9.694710e+01
Glutamine	1	24.75	0	1.135424e+03
Glutamine	2	24.75	100	1.037547e+03
Glutamine	3	24.75	200	1.129319e+03
Glutamine	4	45.25	0	6.208379e+02
Glutamine	5	45.25	100	5.926756e+02
Glutamine	6	45.25	200	6.803757e+02
Glutamine	7	68.75	0	1.691914e+02
Glutamine	8	68.75	100	2.037942e+02
Glutamine	9	68.75	200	2.329939e+02
Glutamine	10	68.75	0	1.805090e+02
Glutamine	11	68.75	100	2.007761e+02
Glutamine	12	68.75	200	1.974904e+02
Glutamine	13	0	0	1.572551e+03
Glutamine	14	45.25	100	5.306938e+02
Glutamine	15	45.25	200	5.804466e+02
Glutamine	16	0	0	1.569487e+03
Proline	1	24.75	0	6.866750e+01
Proline	2	24.75	100	6.958020e+01
Proline	3	24.75	200	6.235330e+01
Proline	4	45.25	0	1.564903e+02
Proline	5	45.25	100	1.174368e+02
Proline	6	45.25	200	1.001948e+02
Proline	7	68.75	0	2.553652e+02
Proline	8	68.75	100	1.962202e+02
Proline	9	68.75	200	1.731107e+02
Proline	10	68.75	0	2.389153e+02
Proline	11	68.75	100	2.163732e+02
Proline	12	68.75	200	2.027583e+02
Proline	13	0	0	3.048500e+01
Proline	14	45.25	100	1.383012e+02
Proline	15	45.25	200	1.365292e+02
Proline	16	0	0	2.759920e+01
Glycine	1	24.75	0	4.424109e+02
Glycine	2	24.75	100	4.056228e+02
Glycine	3	24.75	200	4.129112e+02
Glycine	4	45.25	0	4.823051e+02
Glycine	5	45.25	100	4.521164e+02
Glycine	6	45.25	200	4.402008e+02
Glycine	7	68.75	0	5.193131e+02
Glycine	8	68.75	100	4.928561e+02
Glycine	9	68.75	200	4.983841e+02
Glycine	10	68.75	0	4.993434e+02
Glycine	11	68.75	100	5.134998e+02
Glycine	12	68.75	200	5.145921e+02
Glycine	13	0	0	3.963056e+02
Glycine	14	45.25	100	4.684429e+02
Glycine	15	45.25	200	5.261684e+02
Glycine	16	0	0	3.975350e+02
Alanine	1	24.75	0	4.561559e+02
Alanine	2	24.75	100	5.002190e+02
Alanine	3	24.75	200	4.332420e+02
Alanine	4	45.25	0	7.718988e+02
Alanine	5	45.25	100	8.030678e+02
Alanine	6	45.25	200	6.773063e+02
Alanine	7	68.75	0	6.950943e+02
Alanine	8	68.75	100	7.561764e+02
Alanine	9	68.75	200	7.159989e+02
Alanine	10	68.75	0	7.159060e+02
Alanine	11	68.75	100	7.651612e+02
Alanine	12	68.75	200	6.605132e+02
Alanine	13	0	0	1.223666e+02
Alanine	14	45.25	100	7.837909e+02
Alanine	15	45.25	200	8.078325e+02
Alanine	16	0	0	1.234821e+02
Citrulline	1	24.75	0	9.602600e+00
Citrulline	2	24.75	100	7.897100e+00
Citrulline	3	24.75	200	8.484800e+00
Citrulline	4	45.25	0	7.027500e+00
Citrulline	5	45.25	100	8.019400e+00
Citrulline	6	45.25	200	8.185600e+00
Citrulline	7	68.75	0	7.245500e+00
Citrulline	8	68.75	100	7.284800e+00
Citrulline	9	68.75	200	7.025000e+00
Citrulline	10	68.75	0	7.689600e+00
Citrulline	11	68.75	100	6.859500e+00
Citrulline	12	68.75	200	6.839900e+00
Citrulline	13	0	0	9.584200e+00
Citrulline	14	45.25	100	7.585100e+00
Citrulline	15	45.25	200	8.113200e+00
Citrulline	16	0	0	9.877400e+00
Butyrate	1	24.75	0	2.790100e+00
Butyrate	2	24.75	100	2.098600e+00
Butyrate	3	24.75	200	1.438600e+00
Butyrate	4	45.25	0	2.679300e+00
Butyrate	5	45.25	100	3.523800e+00
Butyrate	6	45.25	200	1.969300e+00
Butyrate	7	68.75	0	3.178900e+00
Butyrate	8	68.75	100	3.530400e+00
Butyrate	9	68.75	200	3.975600e+00
Butyrate	10	68.75	0	1.750100e+00
Butyrate	11	68.75	100	3.457700e+00
Butyrate	12	68.75	200	1.939400e+00
Butyrate	13	0	0	4.117000e+00
Butyrate	14	45.25	100	2.752500e+00
Butyrate	15	45.25	200	3.344400e+00
Butyrate	16	0	0	3.866800e+00
Valine	1	24.75	0	6.534813e+02
