met	id	time	condition	value
Valine	2	24.75	100	5.939797e+02
Valine	3	24.75	200	6.240096e+02
Valine	4	45.25	0	5.572008e+02
Valine	5	45.25	100	5.069933e+02
Valine	6	45.25	200	5.197724e+02
Valine	7	68.75	0	4.165294e+02
Valine	8	68.75	100	3.912200e+02
Valine	9	68.75	200	3.993738e+02
Valine	10	68.75	0	4.152042e+02
Valine	11	68.75	100	4.037041e+02
Valine	12	68.75	200	3.806072e+02
Valine	13	0	0	7.012014e+02
Valine	14	45.25	100	5.254990e+02
Valine	15	45.25	200	5.725588e+02
Valine	16	0	0	7.033338e+02
Cystine	1	24.75	0	1.186082e+02
Cystine	2	24.75	100	1.342737e+02
Cystine	3	24.75	200	1.444021e+02
Cystine	4	45.25	0	6.849770e+01
Cystine	5	45.25	100	1.185329e+02
Cystine	6	45.25	200	1.281248e+02
Cystine	7	68.75	0	2.480140e+01
Cystine	8	68.75	100	1.005592e+02
Cystine	9	68.75	200	1.114617e+02
Cystine	10	68.75	0	2.556650e+01
Cystine	11	68.75	100	1.016760e+02
Cystine	12	68.75	200	1.103930e+02
Cystine	13	0	0	1.639535e+02
Cystine	14	45.25	100	1.212197e+02
Cystine	15	45.25	200	1.393905e+02
Cystine	16	0	0	1.610297e+02
Methionine	1	24.75	0	1.361036e+02
Methionine	2	24.75	100	1.243658e+02
Methionine	3	24.75	200	1.321063e+02
Methionine	4	45.25	0	1.096361e+02
Methionine	5	45.25	100	9.810550e+01
Methionine	6	45.25	200	1.050043e+02
Methionine	7	68.75	0	6.811850e+01
Methionine	8	68.75	100	6.180470e+01
Methionine	9	68.75	200	6.724870e+01
Methionine	10	68.75	0	7.146680e+01
Methionine	11	68.75	100	6.259240e+01
Methionine	12	68.75	200	6.111860e+01
Methionine	13	0	0	1.457535e+02
Methionine	14	45.25	100	1.025542e+02
Methionine	15	45.25	200	1.132912e+02
Methionine	16	0	0	1.444309e+02
Iso-leucine	1	24.75	0	5.913147e+02
Iso-leucine	2	24.75	100	5.442549e+02
Iso-leucine	3	24.75	200	5.729001e+02
Iso-leucine	4	45.25	0	4.928630e+02
Iso-leucine	5	45.25	100	4.554429e+02
Iso-leucine	6	45.25	200	4.698349e+02
Iso-leucine	7	68.75	0	3.665620e+02
Iso-leucine	8	68.75	100	3.504469e+02
Iso-leucine	9	68.75	200	3.551168e+02
Iso-leucine	10	68.75	0	3.662279e+02
Iso-leucine	11	68.75	100	3.583469e+02
Iso-leucine	12	68.75	200	3.383233e+02
Iso-leucine	13	0	0	6.709737e+02
Iso-leucine	14	45.25	100	4.667645e+02
Iso-leucine	15	45.25	200	5.125127e+02
Iso-leucine	16	0	0	6.734458e+02
Leucine	1	24.75	0	5.919677e+02
Leucine	2	24.75	100	5.384969e+02
Leucine	3	24.75	200	5.701357e+02
Leucine	4	45.25	0	4.664734e+02
Leucine	5	45.25	100	4.255607e+02
Leucine	6	45.25	200	4.496765e+02
Leucine	7	68.75	0	3.083128e+02
Leucine	8	68.75	100	2.900794e+02
Leucine	9	68.75	200	3.023444e+02
Leucine	10	68.75	0	3.143677e+02
Leucine	11	68.75	100	2.944956e+02
Leucine	12	68.75	200	2.797760e+02
Leucine	13	0	0	6.765958e+02
Leucine	14	45.25	100	4.375684e+02
Leucine	15	45.25	200	4.879052e+02
Leucine	16	0	0	6.759601e+02
Tyrosine	1	24.75	0	3.406388e+02
Tyrosine	2	24.75	100	3.166312e+02
Tyrosine	3	24.75	200	3.329933e+02
Tyrosine	4	45.25	0	3.482276e+02
Tyrosine	5	45.25	100	3.301659e+02
Tyrosine	6	45.25	200	3.267901e+02
Tyrosine	7	68.75	0	3.537964e+02
Tyrosine	8	68.75	100	3.413342e+02
Tyrosine	9	68.75	200	3.351629e+02
Tyrosine	10	68.75	0	3.399271e+02
Tyrosine	11	68.75	100	3.514864e+02
Tyrosine	12	68.75	200	3.409592e+02
Tyrosine	13	0	0	3.357473e+02
Tyrosine	14	45.25	100	3.434357e+02
Tyrosine	15	45.25	200	3.563341e+02
Tyrosine	16	0	0	3.326420e+02
Phenylalanine	1	24.75	0	3.167381e+02
Phenylalanine	2	24.75	100	2.844865e+02
Phenylalanine	3	24.75	200	3.019529e+02
Phenylalanine	4	45.25	0	2.530724e+02
Phenylalanine	5	45.25	100	2.096393e+02
Phenylalanine	6	45.25	200	2.320542e+02
Phenylalanine	7	68.75	0	1.163967e+02
Phenylalanine	8	68.75	100	9.875070e+01
Phenylalanine	9	68.75	200	1.205417e+02
Phenylalanine	10	68.75	0	1.265048e+02
Phenylalanine	11	68.75	100	1.004955e+02
Phenylalanine	12	68.75	200	1.007558e+02
Phenylalanine	13	0	0	3.442861e+02
Phenylalanine	14	45.25	100	2.232160e+02
Phenylalanine	15	45.25	200	2.504789e+02
Phenylalanine	16	0	0	3.462656e+02
Ornithine	1	24.75	0	4.417020e+01
Ornithine	2	24.75	100	4.104920e+01
Ornithine	3	24.75	200	4.306620e+01
Ornithine	4	45.25	0	6.437100e+01
Ornithine	5	45.25	100	5.678570e+01
Ornithine	6	45.25	200	5.429930e+01
Ornithine	7	68.75	0	7.634640e+01
Ornithine	8	68.75	100	6.870950e+01
Ornithine	9	68.75	200	6.625240e+01
Ornithine	10	68.75	0	7.307590e+01
Ornithine	11	68.75	100	7.044390e+01
Ornithine	12	68.75	200	6.829430e+01
Ornithine	13	0	0	2.809350e+01
Ornithine	14	45.25	100	6.168100e+01
Ornithine	15	45.25	200	6.944530e+01
Ornithine	16	0	0	2.888460e+01
Lysine	1	24.75	0	6.424068e+02
Lysine	2	24.75	100	5.897644e+02
Lysine	3	24.75	200	6.229413e+02
Lysine	4	45.25	0	5.989752e+02
Lysine	5	45.25	100	5.267784e+02
Lysine	6	45.25	200	5.454644e+02
Lysine	7	68.75	0	4.397422e+02
Lysine	8	68.75	100	4.147418e+02
Lysine	9	68.75	200	4.267093e+02
Lysine	10	68.75	0	4.377018e+02
Lysine	11	68.75	100	4.246582e+02
Lysine	12	68.75	200	4.055854e+02
Lysine	13	0	0	6.729616e+02
Lysine	14	45.25	100	5.481092e+02
Lysine	15	45.25	200	5.924030e+02
Lysine	16	0	0	6.729363e+02
Histidine	1	24.75	0	1.621565e+02
Histidine	2	24.75	100	1.474553e+02
Histidine	3	24.75	200	1.554500e+02
Histidine	4	45.25	0	1.465627e+02
Histidine	5	45.25	100	1.285876e+02
Histidine	6	45.25	200	1.356923e+02
Histidine	7	68.75	0	1.049582e+02
Histidine	8	68.75	100	9.822480e+01
Histidine	9	68.75	200	1.028275e+02
Histidine	10	68.75	0	1.037326e+02
Histidine	11	68.75	100	9.857300e+01
Histidine	12	68.75	200	9.721890e+01
Histidine	13	0	0	1.709222e+02
Histidine	14	45.25	100	1.313856e+02
Histidine	15	45.25	200	1.436606e+02
Histidine	16	0	0	1.706285e+02
Tryptophan	1	24.75	0	7.516253e+01
Tryptophan	2	24.75	100	6.741422e+01
Tryptophan	3	24.75	200	7.095570e+01
Tryptophan	4	45.25	0	6.619544e+01
Tryptophan	5	45.25	100	6.046704e+01
Tryptophan	6	45.25	200	6.588355e+01
Tryptophan	7	68.75	0	4.462009e+01
Tryptophan	8	68.75	100	4.163371e+01
Tryptophan	9	68.75	200	4.535846e+01
Tryptophan	10	68.75	0	4.659075e+01
Tryptophan	11	68.75	100	4.102731e+01
Tryptophan	12	68.75	200	4.026499e+01
Tryptophan	13	0	0	7.745167e+01
Tryptophan	14	45.25	100	6.000480e+01
Tryptophan	15	45.25	200	6.404543e+01
Tryptophan	16	0	0	7.756356e+01
Arginine	1	24.75	0	2.870859e+02
Arginine	2	24.75	100	2.577604e+02
Arginine	3	24.75	200	2.777088e+02
Arginine	4	45.25	0	2.265043e+02
Arginine	5	45.25	100	1.968663e+02
Arginine	6	45.25	200	2.128341e+02
Arginine	7	68.75	0	1.097792e+02
Arginine	8	68.75	100	1.051448e+02
Arginine	9	68.75	200	1.195092e+02
Arginine	10	68.75	0	1.165719e+02
Arginine	11	68.75	100	1.060135e+02
Arginine	12	68.75	200	1.011261e+02
Arginine	13	0	0	3.252054e+02
Arginine	14	45.25	100	1.962864e+02
Arginine	15	45.25	200	2.176392e+02
Arginine	16	0	0	3.263631e+02
