Met	Flux	Lb	Ub
glucose[s]	12.24734	-12.55352	37.56871
L-lactate[s]	-87.87803	-65.96345	-113.03312
pyruvate[s]	-19.22761	-11.65674	-27.57960
alanine[s]	-8.40540	-3.19405	-13.96347
arginine[s]	-11.52441	-9.66250	-13.83469
aspartate[s]	1.98153	1.30781	2.72336
cystine[s]	-11.63038	-9.45332	-14.21269
glutamate[s]	31.95621	26.16414	38.87173
glutamine[s]	-129.61915	-108.35351	-155.33033
glycine[s]	24.80532	20.94499	29.60941
histidine[s]	-2.38300	-1.63831	-3.21370
isoleucine[s]	-19.13344	-15.12738	-23.83010
leucine[s]	-20.72073	-16.75142	-25.44765
lysine[s]	-8.38979	-5.64214	-11.43634
methionine[s]	-3.09112	-2.20822	-4.08753
ornithine[s]	3.74971	3.09937	4.54183
phenylalanine[s]	-9.38510	-7.49049	-11.64046
proline[s]	8.86432	6.98342	11.05270
serine[s]	-4.79266	-2.53112	-7.22493
threonine[s]	-5.98364	-3.09653	-9.09887
tryptophan[s]	-1.24300	-0.57489	-1.95773
tyrosine[s]	1.85650	0.49429	3.28601
valine[s]	-17.66798	-14.18407	-21.81443
biomass[s]	0.03596	0.02428	0.05126
