Met	Flux	Lb	Ub
glucose[s]	-546.87277	-434.59295	-666.88570
L-lactate[s]	664.62433	541.25344	797.23765
pyruvate[s]	40.60048	10.75913	71.10159
alanine[s]	32.78085	26.74713	39.26019
arginine[s]	-12.82466	-11.48007	-14.34658
aspartate[s]	0.51715	0.39352	0.64797
cystine[s]	-8.78151	-7.48349	-10.20027
glutamate[s]	19.39708	16.96941	22.09448
glutamine[s]	-93.37396	-80.15571	-107.86881
glycine[s]	2.18355	0.38758	4.00819
histidine[s]	-3.65239	-2.96072	-4.39485
isoleucine[s]	-18.02664	-15.35081	-20.95597
leucine[s]	-21.11374	-18.44813	-24.06966
lysine[s]	-12.46482	-9.96796	-15.13892
methionine[s]	-4.24340	-3.64866	-4.89914
ornithine[s]	2.20113	1.96657	2.46699
phenylalanine[s]	-12.20667	-10.79909	-13.78686
proline[s]	12.28607	11.09970	13.63754
serine[s]	-9.56233	-7.73951	-11.51514
threonine[s]	-9.09619	-6.77666	-11.54648
tryptophan[s]	-2.06212	-1.55175	-2.60117
tyrosine[s]	0.32001	-0.60001	1.24322
valine[s]	-18.28834	-15.66510	-21.17018
biomass[s]	0.03509	0.02768	0.04353
