Met	Flux	Lb	Ub
glucose[s]	-577.48096	-416.32768	-746.98064
L-lactate[s]	837.16768	680.72197	1005.38606
pyruvate[s]	73.67348	50.14401	98.18142
alanine[s]	30.15179	24.23450	36.47896
arginine[s]	-13.68622	-11.61618	-15.95514
aspartate[s]	0.52897	0.36697	0.69874
cystine[s]	-9.15652	-7.46829	-10.97066
glutamate[s]	18.82637	16.08478	21.83271
glutamine[s]	-94.35797	-79.61453	-110.39882
glycine[s]	-0.79655	1.17092	-2.77198
histidine[s]	-3.91129	-2.86379	-5.01439
isoleucine[s]	-19.06436	-15.28128	-23.11405
leucine[s]	-21.83860	-17.95542	-26.01694
lysine[s]	-13.69567	-10.04064	-17.53901
methionine[s]	-4.45003	-3.60313	-5.35881
ornithine[s]	2.03453	1.74588	2.35227
phenylalanine[s]	-13.00638	-10.99852	-15.19308
proline[s]	12.38217	11.17297	13.76742
serine[s]	-10.44308	-7.31016	-13.71633
threonine[s]	-11.21483	-7.57001	-15.01911
tryptophan[s]	-1.66752	-1.02865	-2.32932
tyrosine[s]	0.32200	-1.44256	2.10587
valine[s]	-19.64378	-15.98512	-23.57253
biomass[s]	0.03534	0.02788	0.04388
