Name	Time	Concentration	STD
Glutamic acid	0	28.12	0
Glutamic acid	18	65.61	60.96
Glutamic acid	24	123.18	6.14
Glutamic acid	32	157.99	12.27
Glutamic acid	48	133.89	38.6
Serine	0	353.47	0
Serine	18	262.42	115.46
Serine	24	298.57	10.11
Serine	32	191.46	18.11
Serine	48	137.91	22.84
Glutamine	0	-116.48	0
Glutamine	18	-139.24	120.59
Glutamine	24	-220.92	0
Glutamine	32	-227.61	2.32
Glutamine	48	-227.61	2.32
Histidine	0	100.42	0
Histidine	18	170.04	26.74
Histidine	24	192.8	10.63
Histidine	32	207.53	2.32
Histidine	48	187.44	12.27
Glycine	0	253	0
Glycine	18	286.52	103.22
Glycine	24	390.96	29.61
Glycine	32	487.36	11.6
Glycine	48	504.76	45.15
Threonine	0	502	0
Threonine	18	530.2	113.11
Threonine	24	676.14	12.91
Threonine	32	727.02	46.32
Threonine	48	625.26	98.74
Tyrosine	0	325.35	0
Tyrosine	18	391.63	36.92
Tyrosine	24	423.09	9.28
Tyrosine	32	444.51	19.81
Tyrosine	48	386.94	58.53
Cystine	0	397.65	0
Cystine	18	389.62	45.62
Cystine	24	315.98	56.99
Cystine	32	315.98	44.43
Cystine	48	349.45	59.44
Valine	0	542.25	0
Valine	18	567.69	162.18
Valine	24	717.64	19.81
Valine	32	721.66	57.42
Valine	48	617.23	115.46
Methionine	0	220.92	0
Methionine	18	239.66	56.28
Methionine	24	274.47	8.36
Methionine	32	273.13	4.02
Methionine	48	255.73	16.23
Tryptophan	0	60.25	0
Tryptophan	18	72.3	5.68
Tryptophan	24	76.32	0
Tryptophan	32	83.01	2.32
Tryptophan	48	70.96	10.11
Phenylalanine	0	309.28	0
Phenylalanine	18	367.53	36.92
Phenylalanine	24	390.96	6.14
Phenylalanine	32	403.01	18.98
Phenylalanine	48	352.13	48.42
Iso-leucine	0	574.38	0
Iso-leucine	18	547.61	174.36
Iso-leucine	24	689.53	19.81
Iso-leucine	32	678.82	50.17
Iso-leucine	48	574.38	105.36
Leucine	0	678.82	0
Leucine	18	631.96	172.73
Leucine	24	737.73	8.36
Leucine	32	714.97	31.37
Leucine	48	633.29	85.14
Lysine	0	594.47	0
Lysine	18	633.29	131.04
Lysine	24	727.02	39.56
Lysine	32	771.2	12.05
Lysine	48	698.9	66.37
Pyruvate	0	61	0
Pyruvate	24	179	0
Pyruvate	30	21	0
Pyruvate	48	86	0
Pyruvate	54	84	0
Glucose	0	161	0
Glucose	24	0	0
Glucose	30	0	0
Glucose	48	0	0
Glucose	54	0	0
