Name	Time	Concentration	STD
Glutamic acid	0	32.13	0
Glutamic acid	18	76.32	35.02
Glutamic acid	24	106.44	58.8
Glutamic acid	32	238.32	93.02
Glutamic acid	48	195.48	8.36
Serine	0	365.52	0
Serine	18	306.61	46.55
Serine	24	258.07	106.45
Serine	32	295.89	36.45
Serine	48	215.56	24.21
Glutamine	0	-112.47	0
Glutamine	18	-207.53	9.28
Glutamine	24	-153.64	13.91
Glutamine	32	-216.9	4.02
Glutamine	48	-224.93	0
Histidine	0	156.65	0
Histidine	18	174.06	22.84
Histidine	24	159.66	57.93
Histidine	32	232.97	13.91
Histidine	48	216.9	12.05
Glycine	0	196.82	0
Glycine	18	290.54	61.49
Glycine	24	312.3	160.88
Glycine	32	421.75	110.95
Glycine	48	551.62	36.45
Threonine	0	457.9	0
Threonine	18	536.89	101
Threonine	24	520.16	208.18
Threonine	32	843.5	288.46
Threonine	48	775.22	90.8
Tyrosine	0	333.38	0
Tyrosine	18	350.79	67.73
Tyrosine	24	333.38	135.94
Tyrosine	32	565.01	125.25
Tyrosine	48	463.26	30.15
Cystine	0	389.62	0
Cystine	18	388.28	40.23
Cystine	24	276.15	27.34
Cystine	32	319.99	83.32
Cystine	48	294.56	56.28
Valine	0	550.28	0
Valine	18	571.71	119.85
Valine	24	547.27	234.57
Valine	32	997.47	288.48
Valine	48	769.86	80.77
Methionine	0	253.05	0
Methionine	18	253.05	28.12
Methionine	24	216.9	71.4
Methionine	32	301.25	20.08
Methionine	48	281.17	6.96
Tryptophan	0	64.27	0
Tryptophan	18	65.61	11.6
Tryptophan	24	61.25	23.54
Tryptophan	32	104.43	21.25
Tryptophan	48	83.01	8.36
Phenylalanine	0	317.32	0
Phenylalanine	18	325.35	59.98
Phenylalanine	24	308.28	121.99
Phenylalanine	32	508.78	103.99
Phenylalanine	48	423.09	30.41
Iso-leucine	0	582.42	0
Iso-leucine	18	560.99	113.92
Iso-leucine	24	525.18	223.36
Iso-leucine	32	925.17	255.35
Iso-leucine	48	706.93	67.57
Leucine	0	698.9	0
Leucine	18	644.01	109.29
Leucine	24	583.42	218.73
Leucine	32	860.91	127.67
Leucine	48	740.41	34.16
Lysine	0	610.53	0
Lysine	18	633.29	108.55
Lysine	24	594.47	221.26
Lysine	32	729.69	233.05
Lysine	48	800.66	37.32
Pyruvate	0	76	0
Pyruvate	24	196	0
Pyruvate	30	152	0
Pyruvate	48	108	0
Pyruvate	54	97	0
Glucose	0	5888	0
Glucose	24	5409	0
Glucose	30	4313	0
Glucose	48	4703	0
Glucose	54	4179	0
Lactate	0	1535.792539	108.8384416
