Name	Time	Concentration	STD
Glutamic acid	0	28.12	0
Glutamic acid	18	328.03	331.72
Glutamic acid	24	141.92	20.61
Glutamic acid	32	330.71	2.32
Glutamic acid	48	275.81	91.27
Serine	0	349.45	0
Serine	18	314.64	50.22
Serine	24	287.86	18.11
Serine	32	309.28	8.03
Serine	48	219.58	31.2
Glutamine	0	1687	0
Glutamine	18	1379.73	99.41
Glutamine	24	1120.65	101.38
Glutamine	32	902.41	57.98
Glutamine	48	373.55	88.64
Histidine	0	160.67	0
Histidine	18	175.39	16.72
Histidine	24	171.38	8.36
Histidine	32	212.88	0
Histidine	48	156.65	10.63
Glycine	0	204.85	0
Glycine	18	295.89	75.4
Glycine	24	293.22	21.25
Glycine	32	463.26	6.14
Glycine	48	403.01	26.74
Threonine	0	437.82	0
Threonine	18	524.84	48.59
Threonine	24	527.52	54.83
Threonine	32	733.71	15.21
Threonine	48	514.13	80.23
Tyrosine	0	317.32	0
Tyrosine	18	305.27	136.03
Tyrosine	24	345.43	31.37
Tyrosine	32	469.95	6.96
Tyrosine	48	336.06	46.9
Cystine	0	417.73	0
Cystine	18	390.96	23.19
Cystine	24	382.92	26.74
Cystine	32	340.08	26.74
Cystine	48	349.45	44.18
Valine	0	526.18	0
Valine	18	555.64	78.33
Valine	24	532.88	57.7
Valine	32	696.22	16.72
Valine	48	467.27	80.77
Methionine	0	253.05	0
Methionine	18	249.03	39.56
Methionine	24	236.98	12.05
Methionine	32	269.12	6.96
Methionine	48	211.54	12.91
Tryptophan	0	64.27	0
Tryptophan	18	54.89	26.74
Tryptophan	24	61.59	6.14
Tryptophan	32	80.33	4.02
Tryptophan	48	57.57	8.36
Phenylalanine	0	309.28	0
Phenylalanine	18	249.03	5.68
Phenylalanine	24	275.81	77.51
Phenylalanine	32	392.29	6.14
Phenylalanine	48	183.43	27.34
Iso-leucine	0	558.32	0
Iso-leucine	18	523.51	85.8
Iso-leucine	24	494.05	54.04
Iso-leucine	32	623.92	9.28
Iso-leucine	48	405.68	68.52
Leucine	0	678.82	0
Leucine	18	622.58	94.46
Leucine	24	573.04	42.57
Leucine	32	657.39	8.36
Leucine	48	455.22	61.49
Lysine	0	602.5	0
Lysine	18	641.33	86.65
Lysine	24	618.57	42.51
Lysine	32	795.3	14.48
Lysine	48	573.04	70.76
Pyruvate	0	61	0
Pyruvate	24	424	0
Pyruvate	30	37	0
Pyruvate	48	345	0
Pyruvate	54	263	0
Glucose	0	102	0
Glucose	24	0	0
Glucose	30	0	0
Glucose	48	0	0
Glucose	54	0	0
Lactate	0	1535.792539	108.8384416
