Name	Time	Concentration	STD
Glutamic acid	0	40.17	0
Glutamic acid	18	92.38	34.08
Glutamic acid	24	178.07	39.01
Glutamic acid	32	293.22	75.25
Glutamic acid	48	352.13	9.28
Serine	0	373.55	0
Serine	18	303.26	25.56
Serine	24	315.98	12.91
Serine	32	317.32	35.02
Serine	48	254.39	26.13
Glutamine	0	1389.77	0
Glutamine	18	895.72	249.94
Glutamine	24	951.95	38.74
Glutamine	32	867.6	102.25
Glutamine	48	314.64	9.28
Histidine	0	160.67	0
Histidine	18	178.74	2.84
Histidine	24	190.12	12.27
Histidine	32	239.66	16.72
Histidine	48	182.09	2.32
Glycine	0	196.82	0
Glycine	18	307.28	36.92
Glycine	24	307.94	45.15
Glycine	32	498.07	55.8
Glycine	48	358.82	37.96
Threonine	0	465.93	0
Threonine	18	528.19	2.84
Threonine	24	625.26	58.25
Threonine	32	834.13	116.58
Threonine	48	666.77	30.33
Tyrosine	0	337.4	0
Tyrosine	18	335.39	25.56
Tyrosine	24	403.01	32.22
Tyrosine	32	526.18	49.36
Tyrosine	48	436.48	16.72
Cystine	0	361.5	0
Cystine	18	459.91	71.01
Cystine	24	341.42	10.63
Cystine	32	358.82	71.44
Cystine	48	281.17	28.12
Valine	0	574.38	0
Valine	18	556.31	25.56
Valine	24	635.97	54.53
Valine	32	815.38	125.42
Valine	48	621.24	16.72
Methionine	0	253.05	0
Methionine	18	245.02	11.36
Methionine	24	251.71	14.11
Methionine	32	303.93	19.81
Methionine	48	227.61	2.32
Tryptophan	0	64.27	0
Tryptophan	18	56.23	11.36
Tryptophan	24	69.62	6.14
Tryptophan	32	92.38	10.63
Tryptophan	48	66.94	2.32
Phenylalanine	0	321.33	0
Phenylalanine	18	313.3	28.4
Phenylalanine	24	352.13	26.13
Phenylalanine	32	484.01	19.88
Phenylalanine	48	222.26	6.14
Iso-leucine	0	606.52	0
Iso-leucine	18	540.24	19.88
Iso-leucine	24	601.16	45.68
Iso-leucine	32	670.78	263.11
Iso-leucine	48	544.93	16.72
Leucine	0	714.97	0
Leucine	18	626.6	28.4
Leucine	24	648.02	36.45
Leucine	32	784.59	89.58
Leucine	48	565.01	20.61
Lysine	0	622.58	0
Lysine	18	636.64	25.56
Lysine	24	713.63	44.43
Lysine	32	907.77	76.95
Lysine	48	698.9	12.05
Pyruvate	0	38	0
Pyruvate	24	463	0
Pyruvate	30	552	0
Pyruvate	48	751	0
Pyruvate	54	792	0
Glucose	0	6259	0
Glucose	24	5432	0
Glucose	30	4997	0
Glucose	48	4092	0
Glucose	54	3238	0
